iteration,n_features,train_loss,val_loss,test_loss,n_epochs
1,1057,0.00836317,0.01341043,0.01337405,18
2,951,0.00489672,0.00502420,0.00516069,61
3,855,0.00781922,0.00681992,0.00687805,29
4,769,0.00539235,0.00551801,0.00557241,52
5,692,0.00716213,0.00615284,0.00628490,37
6,622,0.00587401,0.00809462,0.00815838,45
7,559,0.00613810,0.00447857,0.00455754,47
8,503,0.00795687,0.00923865,0.00922890,25
9,452,0.00537214,0.00470344,0.00463537,46
10,406,0.00653566,0.01151256,0.01150880,39
11,365,0.00740320,0.00571863,0.00581100,42
12,328,0.00771250,0.00765567,0.00779896,28
13,295,0.00751923,0.00717304,0.00717424,30
14,265,0.00988774,0.01762857,0.01817554,20
15,238,0.00775869,0.00576974,0.00583312,30
16,214,0.00897153,0.01583324,0.01606379,28
17,192,0.00671545,0.00488727,0.00488697,36
18,172,0.00832343,0.00748971,0.00768289,19
19,154,0.00755648,0.00527456,0.00528009,34
20,138,0.00660245,0.00493079,0.00482603,44
21,124,0.00723148,0.00681744,0.00677037,35
22,111,0.00590709,0.00666368,0.00665904,48
23,99,0.00561281,0.00618244,0.00616998,42
24,89,0.00664299,0.00606346,0.00609908,29
25,80,0.00725021,0.00654902,0.00668991,23
26,72,0.00680781,0.00843966,0.00851715,34
27,64,0.00667086,0.00930935,0.00932934,32
28,57,0.00779530,0.01337639,0.01343674,30
29,51,0.00707313,0.00720324,0.00725575,30
30,45,0.00669412,0.00760369,0.00771813,29
31,40,0.01008123,0.00824990,0.00850111,23
32,36,0.00719787,0.00511409,0.00510488,34
33,32,0.00714818,0.00796578,0.00808082,28
34,28,0.00788737,0.00862355,0.00860226,30
35,25,0.00817117,0.01399775,0.01415198,28
36,22,0.00771808,0.01155072,0.01158585,27
