2025-09-28 22:13:18,658 [INFO] Iniciando treinamento do modelo mlp_att0_3D
2025-09-28 22:13:18,658 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=3D
2025-09-28 22:13:18,658 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 22:13:18,658 [INFO] Carregando dados...
2025-09-28 22:13:18,747 [INFO] Preparando dataloaders sem ruído...
2025-09-28 22:19:19,183 [INFO] Dados carregados em 360.52 segundos
2025-09-28 22:19:19,183 [INFO] Tamanhos dos conjuntos - Treino: 105179, Validação: 13147, Teste: 13148
2025-09-28 22:19:19,183 [INFO] Usando dispositivo: cuda
2025-09-28 22:19:19,426 [INFO] Dimensão de entrada: 5, Dimensão de saída: 1
2025-09-28 22:19:19,426 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 22:19:19,429 [INFO] Modelo criado com 737 parâmetros
2025-09-28 22:19:19,433 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 22:19:19,898 [INFO] Época 1/30, Batch 50/3287, Loss: 0.0163
2025-09-28 22:19:20,150 [INFO] Época 1/30, Batch 100/3287, Loss: 0.0062
2025-09-28 22:19:20,398 [INFO] Época 1/30, Batch 150/3287, Loss: 0.0042
2025-09-28 22:19:20,640 [INFO] Época 1/30, Batch 200/3287, Loss: 0.0036
2025-09-28 22:19:20,879 [INFO] Época 1/30, Batch 250/3287, Loss: 0.0036
2025-09-28 22:19:21,118 [INFO] Época 1/30, Batch 300/3287, Loss: 0.0042
2025-09-28 22:19:21,369 [INFO] Época 1/30, Batch 350/3287, Loss: 0.0034
2025-09-28 22:19:21,611 [INFO] Época 1/30, Batch 400/3287, Loss: 0.0027
2025-09-28 22:19:21,854 [INFO] Época 1/30, Batch 450/3287, Loss: 0.0029
2025-09-28 22:19:22,095 [INFO] Época 1/30, Batch 500/3287, Loss: 0.0022
2025-09-28 22:19:22,342 [INFO] Época 1/30, Batch 550/3287, Loss: 0.0027
2025-09-28 22:19:22,587 [INFO] Época 1/30, Batch 600/3287, Loss: 0.0027
2025-09-28 22:19:22,831 [INFO] Época 1/30, Batch 650/3287, Loss: 0.0024
2025-09-28 22:19:23,080 [INFO] Época 1/30, Batch 700/3287, Loss: 0.0027
2025-09-28 22:19:23,330 [INFO] Época 1/30, Batch 750/3287, Loss: 0.0021
2025-09-28 22:19:23,579 [INFO] Época 1/30, Batch 800/3287, Loss: 0.0017
2025-09-28 22:19:23,829 [INFO] Época 1/30, Batch 850/3287, Loss: 0.0017
2025-09-28 22:19:24,084 [INFO] Época 1/30, Batch 900/3287, Loss: 0.0028
2025-09-28 22:19:24,336 [INFO] Época 1/30, Batch 950/3287, Loss: 0.0029
2025-09-28 22:19:24,586 [INFO] Época 1/30, Batch 1000/3287, Loss: 0.0017
2025-09-28 22:19:24,834 [INFO] Época 1/30, Batch 1050/3287, Loss: 0.0017
2025-09-28 22:19:25,090 [INFO] Época 1/30, Batch 1100/3287, Loss: 0.0020
2025-09-28 22:19:25,338 [INFO] Época 1/30, Batch 1150/3287, Loss: 0.0023
2025-09-28 22:19:25,585 [INFO] Época 1/30, Batch 1200/3287, Loss: 0.0023
2025-09-28 22:19:25,835 [INFO] Época 1/30, Batch 1250/3287, Loss: 0.0019
2025-09-28 22:19:26,083 [INFO] Época 1/30, Batch 1300/3287, Loss: 0.0015
2025-09-28 22:19:26,334 [INFO] Época 1/30, Batch 1350/3287, Loss: 0.0021
2025-09-28 22:19:26,640 [INFO] Época 1/30, Batch 1400/3287, Loss: 0.0022
2025-09-28 22:19:26,895 [INFO] Época 1/30, Batch 1450/3287, Loss: 0.0018
2025-09-28 22:19:27,144 [INFO] Época 1/30, Batch 1500/3287, Loss: 0.0012
2025-09-28 22:19:27,396 [INFO] Época 1/30, Batch 1550/3287, Loss: 0.0014
2025-09-28 22:19:27,646 [INFO] Época 1/30, Batch 1600/3287, Loss: 0.0014
2025-09-28 22:19:27,902 [INFO] Época 1/30, Batch 1650/3287, Loss: 0.0014
2025-09-28 22:19:28,151 [INFO] Época 1/30, Batch 1700/3287, Loss: 0.0018
2025-09-28 22:19:28,402 [INFO] Época 1/30, Batch 1750/3287, Loss: 0.0026
2025-09-28 22:19:28,650 [INFO] Época 1/30, Batch 1800/3287, Loss: 0.0020
2025-09-28 22:19:28,899 [INFO] Época 1/30, Batch 1850/3287, Loss: 0.0012
2025-09-28 22:19:29,148 [INFO] Época 1/30, Batch 1900/3287, Loss: 0.0022
2025-09-28 22:19:29,404 [INFO] Época 1/30, Batch 1950/3287, Loss: 0.0012
2025-09-28 22:19:29,664 [INFO] Época 1/30, Batch 2000/3287, Loss: 0.0009
2025-09-28 22:19:29,925 [INFO] Época 1/30, Batch 2050/3287, Loss: 0.0022
2025-09-28 22:19:30,182 [INFO] Época 1/30, Batch 2100/3287, Loss: 0.0012
2025-09-28 22:19:30,441 [INFO] Época 1/30, Batch 2150/3287, Loss: 0.0016
2025-09-28 22:19:30,698 [INFO] Época 1/30, Batch 2200/3287, Loss: 0.0021
2025-09-28 22:19:30,950 [INFO] Época 1/30, Batch 2250/3287, Loss: 0.0014
2025-09-28 22:19:31,204 [INFO] Época 1/30, Batch 2300/3287, Loss: 0.0011
2025-09-28 22:19:31,458 [INFO] Época 1/30, Batch 2350/3287, Loss: 0.0023
2025-09-28 22:19:31,726 [INFO] Época 1/30, Batch 2400/3287, Loss: 0.0008
2025-09-28 22:19:31,981 [INFO] Época 1/30, Batch 2450/3287, Loss: 0.0014
2025-09-28 22:19:32,238 [INFO] Época 1/30, Batch 2500/3287, Loss: 0.0015
2025-09-28 22:19:32,494 [INFO] Época 1/30, Batch 2550/3287, Loss: 0.0010
2025-09-28 22:19:32,748 [INFO] Época 1/30, Batch 2600/3287, Loss: 0.0006
2025-09-28 22:19:32,995 [INFO] Época 1/30, Batch 2650/3287, Loss: 0.0009
2025-09-28 22:19:33,244 [INFO] Época 1/30, Batch 2700/3287, Loss: 0.0007
2025-09-28 22:19:33,499 [INFO] Época 1/30, Batch 2750/3287, Loss: 0.0008
2025-09-28 22:19:33,759 [INFO] Época 1/30, Batch 2800/3287, Loss: 0.0016
2025-09-28 22:19:34,015 [INFO] Época 1/30, Batch 2850/3287, Loss: 0.0012
2025-09-28 22:19:34,265 [INFO] Época 1/30, Batch 2900/3287, Loss: 0.0009
2025-09-28 22:19:34,512 [INFO] Época 1/30, Batch 2950/3287, Loss: 0.0012
2025-09-28 22:19:34,764 [INFO] Época 1/30, Batch 3000/3287, Loss: 0.0006
2025-09-28 22:19:35,014 [INFO] Época 1/30, Batch 3050/3287, Loss: 0.0013
2025-09-28 22:19:35,259 [INFO] Época 1/30, Batch 3100/3287, Loss: 0.0008
2025-09-28 22:19:35,509 [INFO] Época 1/30, Batch 3150/3287, Loss: 0.0007
2025-09-28 22:19:35,756 [INFO] Época 1/30, Batch 3200/3287, Loss: 0.0016
2025-09-28 22:19:36,010 [INFO] Época 1/30, Batch 3250/3287, Loss: 0.0007
2025-09-28 22:19:37,452 [INFO] [1/30] Train Loss: 0.0072 | Val Loss: 0.0009 | Tempo: 18.02s
2025-09-28 22:19:37,456 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_3D_att0.pth
2025-09-28 22:19:37,920 [INFO] Época 2/30, Batch 50/3287, Loss: 0.0021
2025-09-28 22:19:38,167 [INFO] Época 2/30, Batch 100/3287, Loss: 0.0011
2025-09-28 22:19:38,397 [INFO] Época 2/30, Batch 150/3287, Loss: 0.0009
2025-09-28 22:19:38,626 [INFO] Época 2/30, Batch 200/3287, Loss: 0.0008
2025-09-28 22:19:38,853 [INFO] Época 2/30, Batch 250/3287, Loss: 0.0008
2025-09-28 22:19:39,080 [INFO] Época 2/30, Batch 300/3287, Loss: 0.0008
2025-09-28 22:19:39,305 [INFO] Época 2/30, Batch 350/3287, Loss: 0.0009
2025-09-28 22:19:39,532 [INFO] Época 2/30, Batch 400/3287, Loss: 0.0011
2025-09-28 22:19:39,761 [INFO] Época 2/30, Batch 450/3287, Loss: 0.0009
2025-09-28 22:19:39,989 [INFO] Época 2/30, Batch 500/3287, Loss: 0.0004
2025-09-28 22:19:40,216 [INFO] Época 2/30, Batch 550/3287, Loss: 0.0007
2025-09-28 22:19:40,444 [INFO] Época 2/30, Batch 600/3287, Loss: 0.0010
