2025-10-09 15:41:17,362 [INFO] Iniciando treinamento do modelo mlp_att0_3D
2025-10-09 15:41:17,362 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=3D
2025-10-09 15:41:17,362 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:41:17,362 [INFO] Carregando dados...
2025-10-09 15:41:17,448 [INFO] Preparando dataloaders sem ruído...
2025-10-09 15:41:17,719 [INFO] Dados carregados em 0.36 segundos
2025-10-09 15:41:17,720 [INFO] Tamanhos dos conjuntos - Treino: 105179, Validação: 13147, Teste: 13148
2025-10-09 15:41:17,720 [INFO] Usando dispositivo: cuda
2025-10-09 15:41:17,942 [INFO] Dimensão de entrada: 5, Dimensão de saída: 1
2025-10-09 15:41:17,943 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:41:17,945 [INFO] Modelo criado com 11137 parâmetros
2025-10-09 15:41:17,946 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:41:18,394 [INFO] Época 1/30, Batch 50/3287, Loss: 0.0025
2025-10-09 15:41:18,666 [INFO] Época 1/30, Batch 100/3287, Loss: 0.0023
2025-10-09 15:41:18,934 [INFO] Época 1/30, Batch 150/3287, Loss: 0.0014
2025-10-09 15:41:19,192 [INFO] Época 1/30, Batch 200/3287, Loss: 0.0019
2025-10-09 15:41:19,450 [INFO] Época 1/30, Batch 250/3287, Loss: 0.0011
2025-10-09 15:41:19,718 [INFO] Época 1/30, Batch 300/3287, Loss: 0.0010
2025-10-09 15:41:19,990 [INFO] Época 1/30, Batch 350/3287, Loss: 0.0018
2025-10-09 15:41:20,263 [INFO] Época 1/30, Batch 400/3287, Loss: 0.0011
2025-10-09 15:41:20,535 [INFO] Época 1/30, Batch 450/3287, Loss: 0.0007
2025-10-09 15:41:20,810 [INFO] Época 1/30, Batch 500/3287, Loss: 0.0006
2025-10-09 15:41:21,083 [INFO] Época 1/30, Batch 550/3287, Loss: 0.0007
2025-10-09 15:41:21,357 [INFO] Época 1/30, Batch 600/3287, Loss: 0.0007
2025-10-09 15:41:21,630 [INFO] Época 1/30, Batch 650/3287, Loss: 0.0006
2025-10-09 15:41:21,898 [INFO] Época 1/30, Batch 700/3287, Loss: 0.0006
2025-10-09 15:41:22,162 [INFO] Época 1/30, Batch 750/3287, Loss: 0.0011
2025-10-09 15:41:22,426 [INFO] Época 1/30, Batch 800/3287, Loss: 0.0007
2025-10-09 15:41:22,691 [INFO] Época 1/30, Batch 850/3287, Loss: 0.0008
2025-10-09 15:41:22,961 [INFO] Época 1/30, Batch 900/3287, Loss: 0.0008
2025-10-09 15:41:23,228 [INFO] Época 1/30, Batch 950/3287, Loss: 0.0005
2025-10-09 15:41:23,493 [INFO] Época 1/30, Batch 1000/3287, Loss: 0.0006
2025-10-09 15:41:23,760 [INFO] Época 1/30, Batch 1050/3287, Loss: 0.0007
