2025-09-28 23:15:17,740 [INFO] Iniciando treinamento do modelo mlp_att0_AtomPair
2025-09-28 23:15:17,740 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=AtomPair
2025-09-28 23:15:17,740 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 23:15:17,740 [INFO] Carregando dados...
2025-09-28 23:15:17,834 [INFO] Preparando dataloaders sem ruído...
2025-09-28 23:23:03,798 [INFO] Dados carregados em 466.06 segundos
2025-09-28 23:23:03,799 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 23:23:03,799 [INFO] Usando dispositivo: cuda
2025-09-28 23:23:04,209 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-28 23:23:04,210 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 23:23:04,214 [INFO] Modelo criado com 16961 parâmetros
2025-09-28 23:23:04,218 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 23:23:04,821 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0093
2025-09-28 23:23:05,074 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0122
2025-09-28 23:23:05,321 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0042
2025-09-28 23:23:05,562 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0025
2025-09-28 23:23:05,803 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0022
2025-09-28 23:23:06,044 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0013
2025-09-28 23:23:06,283 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0006
2025-09-28 23:23:06,525 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0008
2025-09-28 23:23:06,764 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0004
2025-09-28 23:23:07,014 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0009
2025-09-28 23:23:07,260 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-09-28 23:23:07,508 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0008
2025-09-28 23:23:07,756 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0006
2025-09-28 23:23:08,004 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0004
2025-09-28 23:23:08,254 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0007
2025-09-28 23:23:08,503 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-09-28 23:23:08,752 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0005
2025-09-28 23:23:09,001 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0010
2025-09-28 23:23:19,041 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-09-28 23:23:19,264 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0004
2025-09-28 23:23:19,491 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0004
2025-09-28 23:23:19,709 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-09-28 23:23:19,918 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0003
2025-09-28 23:23:20,120 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0006
2025-09-28 23:23:20,318 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-09-28 23:23:20,525 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0005
2025-09-28 23:23:20,745 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0003
2025-09-28 23:23:20,973 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0003
2025-09-28 23:23:21,200 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0005
2025-09-28 23:23:21,429 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0008
2025-09-28 23:23:21,650 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0005
2025-09-28 23:23:21,874 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 23:23:22,098 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0004
