2025-10-09 15:56:01,932 [INFO] Iniciando treinamento do modelo mlp_att0_AtomPair
2025-10-09 15:56:01,932 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=AtomPair
2025-10-09 15:56:01,932 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:56:01,932 [INFO] Carregando dados...
2025-10-09 15:56:02,008 [INFO] Preparando dataloaders sem ruído...
2025-10-09 15:56:08,943 [INFO] Dados carregados em 7.01 segundos
2025-10-09 15:56:08,944 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 15:56:08,944 [INFO] Usando dispositivo: cuda
2025-10-09 15:56:09,176 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-10-09 15:56:09,177 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:56:09,181 [INFO] Modelo criado com 76033 parâmetros
2025-10-09 15:56:09,183 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:56:09,640 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0068
2025-10-09 15:56:09,907 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0041
2025-10-09 15:56:10,172 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0021
2025-10-09 15:56:10,438 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0017
2025-10-09 15:56:10,691 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0018
2025-10-09 15:56:10,953 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0011
2025-10-09 15:56:11,216 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0005
2025-10-09 15:56:11,476 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0008
2025-10-09 15:56:11,738 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0018
2025-10-09 15:56:12,002 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0018
2025-10-09 15:56:12,266 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0006
2025-10-09 15:56:12,529 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0006
2025-10-09 15:56:12,793 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0007
2025-10-09 15:56:13,058 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0007
2025-10-09 15:56:13,321 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0005
2025-10-09 15:56:13,584 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0005
2025-10-09 15:56:13,844 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0006
2025-10-09 15:56:14,103 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0027
2025-10-09 15:56:14,361 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0007
2025-10-09 15:56:14,619 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0003
2025-10-09 15:56:14,879 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0008
2025-10-09 15:56:15,138 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0004
2025-10-09 15:56:15,397 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0005
2025-10-09 15:56:15,656 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0004
2025-10-09 15:56:15,915 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-10-09 15:56:16,175 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0004
2025-10-09 15:56:16,432 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 15:56:16,694 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0004
2025-10-09 15:56:16,957 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0005
2025-10-09 15:56:17,222 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0007
2025-10-09 15:56:17,486 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0003
2025-10-09 15:56:17,753 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
2025-10-09 15:56:18,019 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0004
2025-10-09 15:56:18,283 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0004
2025-10-09 15:56:18,548 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0005
2025-10-09 15:56:18,811 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0005
2025-10-09 15:56:19,070 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0003
2025-10-09 15:56:19,328 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0004
2025-10-09 15:56:19,587 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0009
2025-10-09 15:56:19,848 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0005
2025-10-09 15:56:20,108 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0003
2025-10-09 15:56:20,367 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0003
2025-10-09 15:56:20,625 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0004
2025-10-09 15:56:20,884 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0004
2025-10-09 15:56:21,142 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 15:56:21,399 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0003
2025-10-09 15:56:21,660 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0007
2025-10-09 15:56:21,916 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0008
2025-10-09 15:56:22,173 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:56:22,430 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0005
2025-10-09 15:56:22,688 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0005
2025-10-09 15:56:22,946 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0003
2025-10-09 15:56:23,204 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0003
2025-10-09 15:56:23,460 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0009
2025-10-09 15:56:23,716 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0004
2025-10-09 15:56:23,972 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0004
2025-10-09 15:56:24,231 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 15:56:24,488 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0003
2025-10-09 15:56:24,744 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0003
2025-10-09 15:56:24,998 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0011
2025-10-09 15:56:25,253 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0004
2025-10-09 15:56:25,512 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0004
2025-10-09 15:56:25,771 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0004
2025-10-09 15:56:26,030 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0003
2025-10-09 15:56:26,284 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0003
2025-10-09 15:56:26,540 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0004
2025-10-09 15:56:28,231 [INFO] [1/30] Train Loss: 0.0052 | Val Loss: 0.0007 | Tempo: 19.05s
2025-10-09 15:56:28,237 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_AtomPair_att0_large.pth
2025-10-09 15:56:28,708 [INFO] Época 2/30, Batch 50/3348, Loss: 0.0003
2025-10-09 15:56:28,971 [INFO] Época 2/30, Batch 100/3348, Loss: 0.0003
2025-10-09 15:56:29,234 [INFO] Época 2/30, Batch 150/3348, Loss: 0.0003
2025-10-09 15:56:29,496 [INFO] Época 2/30, Batch 200/3348, Loss: 0.0002
2025-10-09 15:56:29,776 [INFO] Época 2/30, Batch 250/3348, Loss: 0.0004
2025-10-09 15:56:30,057 [INFO] Época 2/30, Batch 300/3348, Loss: 0.0003
2025-10-09 15:56:30,340 [INFO] Época 2/30, Batch 350/3348, Loss: 0.0004
2025-10-09 15:56:30,616 [INFO] Época 2/30, Batch 400/3348, Loss: 0.0002
2025-10-09 15:56:30,877 [INFO] Época 2/30, Batch 450/3348, Loss: 0.0005
2025-10-09 15:56:31,139 [INFO] Época 2/30, Batch 500/3348, Loss: 0.0004
2025-10-09 15:56:31,400 [INFO] Época 2/30, Batch 550/3348, Loss: 0.0004
2025-10-09 15:56:31,678 [INFO] Época 2/30, Batch 600/3348, Loss: 0.0006
2025-10-09 15:56:31,940 [INFO] Época 2/30, Batch 650/3348, Loss: 0.0003
2025-10-09 15:56:32,201 [INFO] Época 2/30, Batch 700/3348, Loss: 0.0004
2025-10-09 15:56:32,453 [INFO] Época 2/30, Batch 750/3348, Loss: 0.0004
2025-10-09 15:56:32,717 [INFO] Época 2/30, Batch 800/3348, Loss: 0.0004
2025-10-09 15:56:32,973 [INFO] Época 2/30, Batch 850/3348, Loss: 0.0004
2025-10-09 15:56:33,232 [INFO] Época 2/30, Batch 900/3348, Loss: 0.0002
2025-10-09 15:56:33,487 [INFO] Época 2/30, Batch 950/3348, Loss: 0.0003
2025-10-09 15:56:33,742 [INFO] Época 2/30, Batch 1000/3348, Loss: 0.0004
2025-10-09 15:56:33,996 [INFO] Época 2/30, Batch 1050/3348, Loss: 0.0002
2025-10-09 15:56:34,250 [INFO] Época 2/30, Batch 1100/3348, Loss: 0.0003
2025-10-09 15:56:34,504 [INFO] Época 2/30, Batch 1150/3348, Loss: 0.0003
2025-10-09 15:56:34,758 [INFO] Época 2/30, Batch 1200/3348, Loss: 0.0003
2025-10-09 15:56:35,013 [INFO] Época 2/30, Batch 1250/3348, Loss: 0.0004
2025-10-09 15:56:35,278 [INFO] Época 2/30, Batch 1300/3348, Loss: 0.0005
2025-10-09 15:56:35,541 [INFO] Época 2/30, Batch 1350/3348, Loss: 0.0003
2025-10-09 15:56:35,802 [INFO] Época 2/30, Batch 1400/3348, Loss: 0.0002
2025-10-09 15:56:36,059 [INFO] Época 2/30, Batch 1450/3348, Loss: 0.0003
2025-10-09 15:56:36,316 [INFO] Época 2/30, Batch 1500/3348, Loss: 0.0005
2025-10-09 15:56:36,572 [INFO] Época 2/30, Batch 1550/3348, Loss: 0.0003
2025-10-09 15:56:36,832 [INFO] Época 2/30, Batch 1600/3348, Loss: 0.0004
2025-10-09 15:56:37,089 [INFO] Época 2/30, Batch 1650/3348, Loss: 0.0004
2025-10-09 15:56:37,349 [INFO] Época 2/30, Batch 1700/3348, Loss: 0.0003
2025-10-09 15:56:37,608 [INFO] Época 2/30, Batch 1750/3348, Loss: 0.0003
2025-10-09 15:56:37,869 [INFO] Época 2/30, Batch 1800/3348, Loss: 0.0002
2025-10-09 15:56:38,130 [INFO] Época 2/30, Batch 1850/3348, Loss: 0.0005
2025-10-09 15:56:38,393 [INFO] Época 2/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 15:56:38,658 [INFO] Época 2/30, Batch 1950/3348, Loss: 0.0003
2025-10-09 15:56:38,922 [INFO] Época 2/30, Batch 2000/3348, Loss: 0.0003
2025-10-09 15:56:39,186 [INFO] Época 2/30, Batch 2050/3348, Loss: 0.0003
2025-10-09 15:56:39,449 [INFO] Época 2/30, Batch 2100/3348, Loss: 0.0004
2025-10-09 15:56:39,712 [INFO] Época 2/30, Batch 2150/3348, Loss: 0.0004
2025-10-09 15:56:39,973 [INFO] Época 2/30, Batch 2200/3348, Loss: 0.0004
2025-10-09 15:56:40,236 [INFO] Época 2/30, Batch 2250/3348, Loss: 0.0003
2025-10-09 15:56:40,497 [INFO] Época 2/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 15:56:40,760 [INFO] Época 2/30, Batch 2350/3348, Loss: 0.0005
2025-10-09 15:56:41,021 [INFO] Época 2/30, Batch 2400/3348, Loss: 0.0004
2025-10-09 15:56:41,284 [INFO] Época 2/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:56:41,548 [INFO] Época 2/30, Batch 2500/3348, Loss: 0.0003
2025-10-09 15:56:41,811 [INFO] Época 2/30, Batch 2550/3348, Loss: 0.0006
2025-10-09 15:56:42,073 [INFO] Época 2/30, Batch 2600/3348, Loss: 0.0004
2025-10-09 15:56:42,336 [INFO] Época 2/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 15:56:42,601 [INFO] Época 2/30, Batch 2700/3348, Loss: 0.0004
2025-10-09 15:56:42,866 [INFO] Época 2/30, Batch 2750/3348, Loss: 0.0003
2025-10-09 15:56:43,131 [INFO] Época 2/30, Batch 2800/3348, Loss: 0.0003
2025-10-09 15:56:43,395 [INFO] Época 2/30, Batch 2850/3348, Loss: 0.0006
2025-10-09 15:56:43,656 [INFO] Época 2/30, Batch 2900/3348, Loss: 0.0004
2025-10-09 15:56:43,918 [INFO] Época 2/30, Batch 2950/3348, Loss: 0.0004
