2025-09-29 00:46:23,194 [INFO] Iniciando treinamento do modelo mlp_att0_Avalon
2025-09-29 00:46:23,194 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=Avalon
2025-09-29 00:46:23,195 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-29 00:46:23,195 [INFO] Carregando dados...
2025-09-29 00:46:23,287 [INFO] Preparando dataloaders sem ruído...
2025-09-29 00:56:10,179 [INFO] Dados carregados em 586.98 segundos
2025-09-29 00:56:10,179 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-29 00:56:10,179 [INFO] Usando dispositivo: cuda
2025-09-29 00:56:10,580 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-29 00:56:10,583 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-29 00:56:10,586 [INFO] Modelo criado com 16961 parâmetros
2025-09-29 00:56:10,605 [INFO] Iniciando treinamento com 30 épocas...
2025-09-29 00:56:11,168 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0214
2025-09-29 00:56:11,422 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0053
2025-09-29 00:56:11,665 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0035
2025-09-29 00:56:11,908 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0029
2025-09-29 00:56:12,151 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0010
2025-09-29 00:56:12,402 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0011
2025-09-29 00:56:12,653 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0005
2025-09-29 00:56:12,903 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0005
2025-09-29 00:56:13,155 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0006
2025-09-29 00:56:13,406 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0005
2025-09-29 00:56:13,653 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-09-29 00:56:13,902 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0005
2025-09-29 00:56:14,151 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0004
2025-09-29 00:56:14,402 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0004
2025-09-29 00:56:14,654 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0007
2025-09-29 00:56:14,906 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-09-29 00:56:15,156 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0006
2025-09-29 00:56:15,409 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0009
2025-09-29 00:56:15,662 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0003
2025-09-29 00:56:15,914 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0005
2025-09-29 00:56:16,166 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0004
2025-09-29 00:56:16,415 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-09-29 00:56:16,666 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0004
2025-09-29 00:56:16,920 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0009
2025-09-29 00:56:17,171 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-09-29 00:56:17,421 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0006
2025-09-29 00:56:17,672 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0005
2025-09-29 00:56:17,926 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0004
2025-09-29 00:56:18,179 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0005
2025-09-29 00:56:18,430 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0005
