2025-10-09 16:21:52,369 [INFO] Iniciando treinamento do modelo mlp_att0_Avalon
2025-10-09 16:21:52,369 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=Avalon
2025-10-09 16:21:52,369 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 16:21:52,369 [INFO] Carregando dados...
2025-10-09 16:21:52,447 [INFO] Preparando dataloaders sem ruído...
2025-10-09 16:25:57,828 [INFO] Dados carregados em 245.46 segundos
2025-10-09 16:25:57,828 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 16:25:57,828 [INFO] Usando dispositivo: cuda
2025-10-09 16:25:58,069 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-10-09 16:25:58,070 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 16:25:58,074 [INFO] Modelo criado com 76033 parâmetros
2025-10-09 16:25:58,094 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 16:25:58,531 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0044
2025-10-09 16:25:58,809 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0024
2025-10-09 16:25:59,076 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0011
2025-10-09 16:25:59,340 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0009
2025-10-09 16:25:59,582 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0005
2025-10-09 16:25:59,823 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0011
2025-10-09 16:26:00,070 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0004
2025-10-09 16:26:00,313 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0008
2025-10-09 16:26:00,555 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0005
2025-10-09 16:26:00,797 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0008
2025-10-09 16:26:01,036 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-10-09 16:26:01,278 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0007
2025-10-09 16:26:01,520 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0006
2025-10-09 16:26:01,763 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0005
2025-10-09 16:26:02,002 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0005
2025-10-09 16:26:02,244 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0007
2025-10-09 16:26:02,488 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0006
2025-10-09 16:26:02,729 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0006
2025-10-09 16:26:02,970 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0007
2025-10-09 16:26:03,213 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0003
2025-10-09 16:26:03,452 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0005
2025-10-09 16:26:03,691 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-10-09 16:26:03,930 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0008
2025-10-09 16:26:04,174 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0006
2025-10-09 16:26:04,417 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-10-09 16:26:04,658 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0004
2025-10-09 16:26:04,897 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 16:26:05,136 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0006
2025-10-09 16:26:05,374 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-10-09 16:26:05,612 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0003
2025-10-09 16:26:05,850 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0004
2025-10-09 16:26:06,092 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0005
2025-10-09 16:26:06,331 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0005
2025-10-09 16:26:06,573 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0004
2025-10-09 16:26:06,811 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0007
2025-10-09 16:26:07,051 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0004
2025-10-09 16:26:07,290 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0003
2025-10-09 16:26:07,528 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0007
2025-10-09 16:26:07,767 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0006
2025-10-09 16:26:08,007 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0004
2025-10-09 16:26:08,245 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0005
2025-10-09 16:26:08,485 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0003
2025-10-09 16:26:08,725 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0004
2025-10-09 16:26:08,975 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0003
2025-10-09 16:26:09,243 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 16:26:09,510 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 16:26:09,775 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0008
2025-10-09 16:26:10,035 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0006
2025-10-09 16:26:10,291 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0003
2025-10-09 16:26:10,545 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0005
2025-10-09 16:26:10,804 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0005
2025-10-09 16:26:11,062 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0003
2025-10-09 16:26:11,324 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 16:26:11,582 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0005
2025-10-09 16:26:11,821 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0004
2025-10-09 16:26:12,056 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0004
2025-10-09 16:26:12,291 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 16:26:12,538 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0003
2025-10-09 16:26:12,783 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0003
2025-10-09 16:26:13,028 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0012
2025-10-09 16:26:13,275 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0003
2025-10-09 16:26:13,520 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0002
2025-10-09 16:26:13,767 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0005
2025-10-09 16:26:14,012 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0004
2025-10-09 16:26:14,265 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0004
2025-10-09 16:26:14,511 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0003
2025-10-09 16:26:15,981 [INFO] [1/30] Train Loss: 0.0051 | Val Loss: 0.0003 | Tempo: 17.89s
2025-10-09 16:26:15,985 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_Avalon_att0_large.pth
2025-10-09 16:26:16,417 [INFO] Época 2/30, Batch 50/3348, Loss: 0.0004
2025-10-09 16:26:16,680 [INFO] Época 2/30, Batch 100/3348, Loss: 0.0004
2025-10-09 16:26:16,940 [INFO] Época 2/30, Batch 150/3348, Loss: 0.0006
2025-10-09 16:26:17,193 [INFO] Época 2/30, Batch 200/3348, Loss: 0.0004
2025-10-09 16:26:17,447 [INFO] Época 2/30, Batch 250/3348, Loss: 0.0003
2025-10-09 16:26:17,702 [INFO] Época 2/30, Batch 300/3348, Loss: 0.0002
2025-10-09 16:26:17,960 [INFO] Época 2/30, Batch 350/3348, Loss: 0.0003
2025-10-09 16:26:18,215 [INFO] Época 2/30, Batch 400/3348, Loss: 0.0004
2025-10-09 16:26:18,470 [INFO] Época 2/30, Batch 450/3348, Loss: 0.0004
2025-10-09 16:26:18,727 [INFO] Época 2/30, Batch 500/3348, Loss: 0.0002
2025-10-09 16:26:18,976 [INFO] Época 2/30, Batch 550/3348, Loss: 0.0003
2025-10-09 16:26:19,220 [INFO] Época 2/30, Batch 600/3348, Loss: 0.0004
2025-10-09 16:26:19,463 [INFO] Época 2/30, Batch 650/3348, Loss: 0.0005
2025-10-09 16:26:19,707 [INFO] Época 2/30, Batch 700/3348, Loss: 0.0004
2025-10-09 16:26:19,952 [INFO] Época 2/30, Batch 750/3348, Loss: 0.0004
2025-10-09 16:26:20,194 [INFO] Época 2/30, Batch 800/3348, Loss: 0.0004
2025-10-09 16:26:20,437 [INFO] Época 2/30, Batch 850/3348, Loss: 0.0003
2025-10-09 16:26:20,679 [INFO] Época 2/30, Batch 900/3348, Loss: 0.0003
2025-10-09 16:26:20,922 [INFO] Época 2/30, Batch 950/3348, Loss: 0.0003
2025-10-09 16:26:21,173 [INFO] Época 2/30, Batch 1000/3348, Loss: 0.0003
2025-10-09 16:26:21,422 [INFO] Época 2/30, Batch 1050/3348, Loss: 0.0002
2025-10-09 16:26:21,673 [INFO] Época 2/30, Batch 1100/3348, Loss: 0.0003
2025-10-09 16:26:21,923 [INFO] Época 2/30, Batch 1150/3348, Loss: 0.0003
2025-10-09 16:26:22,173 [INFO] Época 2/30, Batch 1200/3348, Loss: 0.0004
2025-10-09 16:26:22,426 [INFO] Época 2/30, Batch 1250/3348, Loss: 0.0005
