2025-09-28 21:26:15,594 [INFO] Iniciando treinamento do modelo mlp_att0_CM
2025-09-28 21:26:15,594 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=CM
2025-09-28 21:26:15,594 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 21:26:15,594 [INFO] Carregando dados...
2025-09-28 21:26:15,672 [INFO] Preparando dataloaders sem ruído...
2025-09-28 21:26:16,218 [INFO] Dados carregados em 0.62 segundos
2025-09-28 21:26:16,218 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 21:26:16,218 [INFO] Usando dispositivo: cuda
2025-09-28 21:26:16,412 [INFO] Dimensão de entrada: 29, Dimensão de saída: 1
2025-09-28 21:26:16,413 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 21:26:16,415 [INFO] Modelo criado com 1505 parâmetros
2025-09-28 21:26:16,417 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 21:26:16,832 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0101
2025-09-28 21:26:17,082 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0080
2025-09-28 21:26:17,332 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0054
2025-09-28 21:26:17,580 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0050
2025-09-28 21:26:17,824 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0033
2025-09-28 21:26:18,067 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0047
2025-09-28 21:26:18,309 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0033
2025-09-28 21:26:18,553 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0019
2025-09-28 21:26:18,797 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0012
2025-09-28 21:26:19,039 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0012
2025-09-28 21:26:19,281 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0008
2025-09-28 21:26:19,524 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0015
2025-09-28 21:26:19,769 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0008
2025-09-28 21:26:20,014 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0015
2025-09-28 21:26:20,260 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0006
2025-09-28 21:26:20,506 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0007
2025-09-28 21:26:20,751 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0010
2025-09-28 21:26:20,999 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0010
2025-09-28 21:26:21,246 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0013
2025-09-28 21:26:21,494 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0014
2025-09-28 21:26:21,739 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0006
2025-09-28 21:26:21,986 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0007
2025-09-28 21:26:22,230 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0008
2025-09-28 21:26:22,478 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0008
2025-09-28 21:26:22,724 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0008
2025-09-28 21:26:22,969 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0007
2025-09-28 21:26:23,214 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0008
2025-09-28 21:26:23,460 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0006
2025-09-28 21:26:23,707 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-09-28 21:26:23,953 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0009
2025-09-28 21:26:24,199 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0005
2025-09-28 21:26:24,447 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 21:26:24,694 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0005
2025-09-28 21:26:24,941 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0006
2025-09-28 21:26:25,186 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0007
2025-09-28 21:26:25,432 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0006
2025-09-28 21:26:25,679 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0004
2025-09-28 21:26:25,925 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-09-28 21:26:26,169 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0005
2025-09-28 21:26:26,416 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0005
2025-09-28 21:26:26,664 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0005
2025-09-28 21:26:26,907 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0005
2025-09-28 21:26:27,152 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0005
2025-09-28 21:26:27,399 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0004
2025-09-28 21:26:27,646 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-09-28 21:26:27,890 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0005
2025-09-28 21:26:28,135 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0004
2025-09-28 21:26:28,378 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0005
2025-09-28 21:26:28,624 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-09-28 21:26:28,871 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0004
2025-09-28 21:26:29,114 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0004
2025-09-28 21:26:29,360 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0005
2025-09-28 21:26:29,605 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-09-28 21:26:29,852 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0006
2025-09-28 21:26:30,102 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0004
2025-09-28 21:26:30,340 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0005
2025-09-28 21:26:30,578 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0006
2025-09-28 21:26:30,820 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0005
2025-09-28 21:26:31,055 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0004
2025-09-28 21:26:31,292 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0008
2025-09-28 21:26:31,526 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0005
2025-09-28 21:26:31,755 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0003
2025-09-28 21:26:31,984 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0003
2025-09-28 21:26:32,212 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0006
2025-09-28 21:26:32,445 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0004
2025-09-28 21:26:32,701 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0005
2025-09-28 21:26:34,330 [INFO] [1/30] Train Loss: 0.0059 | Val Loss: 0.0007 | Tempo: 17.91s
2025-09-28 21:26:34,334 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_CM_att0.pth
2025-09-28 21:26:34,764 [INFO] Época 2/30, Batch 50/3348, Loss: 0.0006
2025-09-28 21:26:35,014 [INFO] Época 2/30, Batch 100/3348, Loss: 0.0005
2025-09-28 21:26:35,272 [INFO] Época 2/30, Batch 150/3348, Loss: 0.0003
2025-09-28 21:26:35,528 [INFO] Época 2/30, Batch 200/3348, Loss: 0.0004
2025-09-28 21:26:35,782 [INFO] Época 2/30, Batch 250/3348, Loss: 0.0004
2025-09-28 21:26:36,034 [INFO] Época 2/30, Batch 300/3348, Loss: 0.0005
2025-09-28 21:26:36,286 [INFO] Época 2/30, Batch 350/3348, Loss: 0.0004
2025-09-28 21:26:36,534 [INFO] Época 2/30, Batch 400/3348, Loss: 0.0008
2025-09-28 21:26:36,782 [INFO] Época 2/30, Batch 450/3348, Loss: 0.0003
2025-09-28 21:26:37,028 [INFO] Época 2/30, Batch 500/3348, Loss: 0.0004
2025-09-28 21:26:37,275 [INFO] Época 2/30, Batch 550/3348, Loss: 0.0004
2025-09-28 21:26:37,525 [INFO] Época 2/30, Batch 600/3348, Loss: 0.0004
2025-09-28 21:26:37,789 [INFO] Época 2/30, Batch 650/3348, Loss: 0.0003
2025-09-28 21:26:38,046 [INFO] Época 2/30, Batch 700/3348, Loss: 0.0005
2025-09-28 21:26:38,297 [INFO] Época 2/30, Batch 750/3348, Loss: 0.0003
2025-09-28 21:26:38,548 [INFO] Época 2/30, Batch 800/3348, Loss: 0.0003
2025-09-28 21:26:38,786 [INFO] Época 2/30, Batch 850/3348, Loss: 0.0004
2025-09-28 21:26:39,022 [INFO] Época 2/30, Batch 900/3348, Loss: 0.0003
2025-09-28 21:26:39,270 [INFO] Época 2/30, Batch 950/3348, Loss: 0.0003
2025-09-28 21:26:39,521 [INFO] Época 2/30, Batch 1000/3348, Loss: 0.0003
2025-09-28 21:26:39,769 [INFO] Época 2/30, Batch 1050/3348, Loss: 0.0003
2025-09-28 21:26:40,018 [INFO] Época 2/30, Batch 1100/3348, Loss: 0.0003
2025-09-28 21:26:40,267 [INFO] Época 2/30, Batch 1150/3348, Loss: 0.0004
2025-09-28 21:26:40,516 [INFO] Época 2/30, Batch 1200/3348, Loss: 0.0005
2025-09-28 21:26:40,757 [INFO] Época 2/30, Batch 1250/3348, Loss: 0.0005
2025-09-28 21:26:40,991 [INFO] Época 2/30, Batch 1300/3348, Loss: 0.0005
2025-09-28 21:26:41,229 [INFO] Época 2/30, Batch 1350/3348, Loss: 0.0003
2025-09-28 21:26:41,472 [INFO] Época 2/30, Batch 1400/3348, Loss: 0.0004
2025-09-28 21:26:41,719 [INFO] Época 2/30, Batch 1450/3348, Loss: 0.0004
2025-09-28 21:26:41,966 [INFO] Época 2/30, Batch 1500/3348, Loss: 0.0004
2025-09-28 21:26:42,210 [INFO] Época 2/30, Batch 1550/3348, Loss: 0.0004
2025-09-28 21:26:42,457 [INFO] Época 2/30, Batch 1600/3348, Loss: 0.0003
2025-09-28 21:26:42,703 [INFO] Época 2/30, Batch 1650/3348, Loss: 0.0003
2025-09-28 21:26:42,951 [INFO] Época 2/30, Batch 1700/3348, Loss: 0.0006
2025-09-28 21:26:43,201 [INFO] Época 2/30, Batch 1750/3348, Loss: 0.0005
2025-09-28 21:26:43,453 [INFO] Época 2/30, Batch 1800/3348, Loss: 0.0006
2025-09-28 21:26:43,705 [INFO] Época 2/30, Batch 1850/3348, Loss: 0.0003
2025-09-28 21:26:43,955 [INFO] Época 2/30, Batch 1900/3348, Loss: 0.0003
2025-09-28 21:26:44,205 [INFO] Época 2/30, Batch 1950/3348, Loss: 0.0005
2025-09-28 21:26:44,455 [INFO] Época 2/30, Batch 2000/3348, Loss: 0.0005
2025-09-28 21:26:44,706 [INFO] Época 2/30, Batch 2050/3348, Loss: 0.0003
2025-09-28 21:26:44,956 [INFO] Época 2/30, Batch 2100/3348, Loss: 0.0006
2025-09-28 21:26:45,212 [INFO] Época 2/30, Batch 2150/3348, Loss: 0.0003
2025-09-28 21:26:45,458 [INFO] Época 2/30, Batch 2200/3348, Loss: 0.0003
2025-09-28 21:26:45,710 [INFO] Época 2/30, Batch 2250/3348, Loss: 0.0003
2025-09-28 21:26:45,960 [INFO] Época 2/30, Batch 2300/3348, Loss: 0.0002
2025-09-28 21:26:46,209 [INFO] Época 2/30, Batch 2350/3348, Loss: 0.0004
2025-09-28 21:26:46,454 [INFO] Época 2/30, Batch 2400/3348, Loss: 0.0003
2025-09-28 21:26:46,699 [INFO] Época 2/30, Batch 2450/3348, Loss: 0.0003
2025-09-28 21:26:46,945 [INFO] Época 2/30, Batch 2500/3348, Loss: 0.0002
2025-09-28 21:26:47,190 [INFO] Época 2/30, Batch 2550/3348, Loss: 0.0005
2025-09-28 21:26:47,434 [INFO] Época 2/30, Batch 2600/3348, Loss: 0.0006
2025-09-28 21:26:47,676 [INFO] Época 2/30, Batch 2650/3348, Loss: 0.0005
2025-09-28 21:26:47,923 [INFO] Época 2/30, Batch 2700/3348, Loss: 0.0003
2025-09-28 21:26:48,177 [INFO] Época 2/30, Batch 2750/3348, Loss: 0.0004
2025-09-28 21:26:48,420 [INFO] Época 2/30, Batch 2800/3348, Loss: 0.0005
2025-09-28 21:26:48,662 [INFO] Época 2/30, Batch 2850/3348, Loss: 0.0004
2025-09-28 21:26:48,907 [INFO] Época 2/30, Batch 2900/3348, Loss: 0.0004
2025-09-28 21:26:49,158 [INFO] Época 2/30, Batch 2950/3348, Loss: 0.0004
2025-09-28 21:26:49,405 [INFO] Época 2/30, Batch 3000/3348, Loss: 0.0004
2025-09-28 21:26:49,648 [INFO] Época 2/30, Batch 3050/3348, Loss: 0.0003
2025-09-28 21:26:49,889 [INFO] Época 2/30, Batch 3100/3348, Loss: 0.0003
2025-09-28 21:26:50,133 [INFO] Época 2/30, Batch 3150/3348, Loss: 0.0004
2025-09-28 21:26:50,377 [INFO] Época 2/30, Batch 3200/3348, Loss: 0.0004
2025-09-28 21:26:50,623 [INFO] Época 2/30, Batch 3250/3348, Loss: 0.0004
2025-09-28 21:26:50,870 [INFO] Época 2/30, Batch 3300/3348, Loss: 0.0003
2025-09-28 21:26:52,434 [INFO] [2/30] Train Loss: 0.0049 | Val Loss: 0.0006 | Tempo: 18.10s
2025-09-28 21:26:52,438 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_CM_att0.pth
2025-09-28 21:26:52,862 [INFO] Época 3/30, Batch 50/3348, Loss: 0.0003
2025-09-28 21:26:53,113 [INFO] Época 3/30, Batch 100/3348, Loss: 0.0003
2025-09-28 21:26:53,373 [INFO] Época 3/30, Batch 150/3348, Loss: 0.0002
2025-09-28 21:26:53,626 [INFO] Época 3/30, Batch 200/3348, Loss: 0.0004
2025-09-28 21:26:53,878 [INFO] Época 3/30, Batch 250/3348, Loss: 0.0003
2025-09-28 21:26:54,127 [INFO] Época 3/30, Batch 300/3348, Loss: 0.0004
2025-09-28 21:26:54,380 [INFO] Época 3/30, Batch 350/3348, Loss: 0.0004
2025-09-28 21:26:54,630 [INFO] Época 3/30, Batch 400/3348, Loss: 0.0004
2025-09-28 21:26:54,878 [INFO] Época 3/30, Batch 450/3348, Loss: 0.0003
2025-09-28 21:26:55,125 [INFO] Época 3/30, Batch 500/3348, Loss: 0.0003
2025-09-28 21:26:55,372 [INFO] Época 3/30, Batch 550/3348, Loss: 0.0003
2025-09-28 21:26:55,621 [INFO] Época 3/30, Batch 600/3348, Loss: 0.0004
2025-09-28 21:26:55,868 [INFO] Época 3/30, Batch 650/3348, Loss: 0.0004
2025-09-28 21:26:56,116 [INFO] Época 3/30, Batch 700/3348, Loss: 0.0005
2025-09-28 21:26:56,363 [INFO] Época 3/30, Batch 750/3348, Loss: 0.0003
2025-09-28 21:26:56,611 [INFO] Época 3/30, Batch 800/3348, Loss: 0.0003
2025-09-28 21:26:56,859 [INFO] Época 3/30, Batch 850/3348, Loss: 0.0005
2025-09-28 21:26:57,102 [INFO] Época 3/30, Batch 900/3348, Loss: 0.0004
2025-09-28 21:26:57,341 [INFO] Época 3/30, Batch 950/3348, Loss: 0.0003
2025-09-28 21:26:57,580 [INFO] Época 3/30, Batch 1000/3348, Loss: 0.0004
2025-09-28 21:26:57,824 [INFO] Época 3/30, Batch 1050/3348, Loss: 0.0003
2025-09-28 21:26:58,071 [INFO] Época 3/30, Batch 1100/3348, Loss: 0.0004
2025-09-28 21:26:58,316 [INFO] Época 3/30, Batch 1150/3348, Loss: 0.0004
2025-09-28 21:26:58,571 [INFO] Época 3/30, Batch 1200/3348, Loss: 0.0004
2025-09-28 21:26:58,818 [INFO] Época 3/30, Batch 1250/3348, Loss: 0.0005
2025-09-28 21:26:59,063 [INFO] Época 3/30, Batch 1300/3348, Loss: 0.0005
2025-09-28 21:26:59,306 [INFO] Época 3/30, Batch 1350/3348, Loss: 0.0003
2025-09-28 21:26:59,549 [INFO] Época 3/30, Batch 1400/3348, Loss: 0.0005
2025-09-28 21:26:59,793 [INFO] Época 3/30, Batch 1450/3348, Loss: 0.0003
2025-09-28 21:27:00,039 [INFO] Época 3/30, Batch 1500/3348, Loss: 0.0002
2025-09-28 21:27:00,288 [INFO] Época 3/30, Batch 1550/3348, Loss: 0.0004
2025-09-28 21:27:00,535 [INFO] Época 3/30, Batch 1600/3348, Loss: 0.0003
2025-09-28 21:27:00,783 [INFO] Época 3/30, Batch 1650/3348, Loss: 0.0003
2025-09-28 21:27:01,031 [INFO] Época 3/30, Batch 1700/3348, Loss: 0.0004
2025-09-28 21:27:01,275 [INFO] Época 3/30, Batch 1750/3348, Loss: 0.0004
