2025-09-28 23:46:07,111 [INFO] Iniciando treinamento do modelo mlp_att0_EState
2025-09-28 23:46:07,112 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=EState
2025-09-28 23:46:07,112 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 23:46:07,112 [INFO] Carregando dados...
2025-09-28 23:46:07,206 [INFO] Preparando dataloaders sem ruído...
2025-09-28 23:50:06,223 [INFO] Dados carregados em 239.11 segundos
2025-09-28 23:50:06,227 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 23:50:06,227 [INFO] Usando dispositivo: cuda
2025-09-28 23:50:06,615 [INFO] Dimensão de entrada: 79, Dimensão de saída: 1
2025-09-28 23:50:06,615 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 23:50:06,618 [INFO] Modelo criado com 3105 parâmetros
2025-09-28 23:50:06,637 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 23:50:07,142 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0188
2025-09-28 23:50:07,395 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0055
2025-09-28 23:50:07,643 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0038
2025-09-28 23:50:07,890 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0053
2025-09-28 23:50:08,137 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0027
2025-09-28 23:50:08,383 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0014
2025-09-28 23:50:08,628 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0018
2025-09-28 23:50:08,871 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0020
2025-09-28 23:50:09,113 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0020
2025-09-28 23:50:09,357 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0020
2025-09-28 23:50:09,599 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0010
2025-09-28 23:50:09,842 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0017
2025-09-28 23:50:10,098 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0010
2025-09-28 23:50:10,342 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0011
2025-09-28 23:50:10,588 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0009
2025-09-28 23:50:10,853 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0010
2025-09-28 23:50:11,112 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0009
2025-09-28 23:50:11,371 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0008
2025-09-28 23:50:11,638 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0010
2025-09-28 23:50:11,897 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0016
2025-09-28 23:50:12,158 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0010
2025-09-28 23:50:12,417 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0015
2025-09-28 23:50:12,681 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0005
2025-09-28 23:50:12,943 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0006
2025-09-28 23:50:13,206 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0009
2025-09-28 23:50:13,469 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0005
2025-09-28 23:50:13,728 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0006
2025-09-28 23:50:13,977 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0007
2025-09-28 23:50:14,227 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-09-28 23:50:14,474 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0007
2025-09-28 23:50:14,724 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0007
2025-09-28 23:50:14,972 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0009
