2025-10-09 16:05:56,702 [INFO] Iniciando treinamento do modelo mlp_att0_EState
2025-10-09 16:05:56,702 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=EState
2025-10-09 16:05:56,702 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 16:05:56,702 [INFO] Carregando dados...
2025-10-09 16:05:56,778 [INFO] Preparando dataloaders sem ruído...
2025-10-09 16:05:57,714 [INFO] Dados carregados em 1.01 segundos
2025-10-09 16:05:57,714 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 16:05:57,714 [INFO] Usando dispositivo: cuda
2025-10-09 16:05:57,934 [INFO] Dimensão de entrada: 79, Dimensão de saída: 1
2025-10-09 16:05:57,934 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 16:05:57,937 [INFO] Modelo criado com 20609 parâmetros
2025-10-09 16:05:57,938 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 16:05:58,379 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0028
2025-10-09 16:05:58,643 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0010
2025-10-09 16:05:58,903 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0011
2025-10-09 16:05:59,161 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0005
2025-10-09 16:05:59,418 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0009
2025-10-09 16:05:59,676 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0008
2025-10-09 16:05:59,933 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0006
2025-10-09 16:06:00,191 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0009
2025-10-09 16:06:00,448 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0006
2025-10-09 16:06:00,705 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0009
2025-10-09 16:06:00,965 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0006
2025-10-09 16:06:01,222 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0006
2025-10-09 16:06:01,480 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0004
2025-10-09 16:06:01,736 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0004
2025-10-09 16:06:01,992 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0006
2025-10-09 16:06:02,247 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0006
2025-10-09 16:06:02,492 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0004
2025-10-09 16:06:02,739 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0005
2025-10-09 16:06:02,983 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0005
2025-10-09 16:06:03,227 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0004
2025-10-09 16:06:03,471 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0008
2025-10-09 16:06:03,716 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0007
2025-10-09 16:06:03,965 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0003
2025-10-09 16:06:04,217 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0005
2025-10-09 16:06:04,475 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0006
2025-10-09 16:06:04,734 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0005
2025-10-09 16:06:04,991 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0005
2025-10-09 16:06:05,253 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0006
2025-10-09 16:06:05,512 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-10-09 16:06:05,771 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0007
2025-10-09 16:06:06,029 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0005
2025-10-09 16:06:06,288 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0006
2025-10-09 16:06:06,550 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0006
2025-10-09 16:06:06,808 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0008
2025-10-09 16:06:07,066 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0009
2025-10-09 16:06:07,324 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0005
2025-10-09 16:06:07,584 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0004
2025-10-09 16:06:07,850 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 16:06:08,107 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0003
2025-10-09 16:06:08,364 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0005
2025-10-09 16:06:08,624 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0007
2025-10-09 16:06:08,882 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0007
2025-10-09 16:06:09,139 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0008
2025-10-09 16:06:09,398 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0004
2025-10-09 16:06:09,655 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 16:06:09,913 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 16:06:10,168 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0005
2025-10-09 16:06:10,424 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0005
2025-10-09 16:06:10,680 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0003
2025-10-09 16:06:10,937 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0004
2025-10-09 16:06:11,192 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0004
2025-10-09 16:06:11,449 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0006
2025-10-09 16:06:11,706 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 16:06:11,966 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0004
2025-10-09 16:06:12,224 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0005
2025-10-09 16:06:12,484 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0004
2025-10-09 16:06:12,744 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0010
2025-10-09 16:06:13,008 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0006
2025-10-09 16:06:13,271 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0004
2025-10-09 16:06:13,531 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0142
2025-10-09 16:06:13,792 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0003
2025-10-09 16:06:14,048 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0005
2025-10-09 16:06:14,304 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0006
2025-10-09 16:06:14,562 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0006
2025-10-09 16:06:14,822 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0005
2025-10-09 16:06:15,081 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0007
2025-10-09 16:06:16,691 [INFO] [1/30] Train Loss: 0.0051 | Val Loss: 0.0004 | Tempo: 18.75s
