2025-09-29 01:17:36,547 [INFO] Iniciando treinamento do modelo mlp_att0_MorganCount
2025-09-29 01:17:36,548 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=MorganCount
2025-09-29 01:17:36,548 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-29 01:17:36,548 [INFO] Carregando dados...
2025-09-29 01:17:36,640 [INFO] Preparando dataloaders sem ruído...
2025-09-29 01:18:29,999 [INFO] Dados carregados em 53.45 segundos
2025-09-29 01:18:29,999 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-29 01:18:30,000 [INFO] Usando dispositivo: cuda
2025-09-29 01:18:30,392 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-29 01:18:30,392 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-29 01:18:30,395 [INFO] Modelo criado com 16961 parâmetros
2025-09-29 01:18:30,414 [INFO] Iniciando treinamento com 30 épocas...
2025-09-29 01:18:30,988 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0149
2025-09-29 01:18:31,238 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0068
2025-09-29 01:18:31,486 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0032
2025-09-29 01:18:31,737 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0011
2025-09-29 01:18:31,986 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0011
2025-09-29 01:18:32,234 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0012
2025-09-29 01:18:32,482 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0005
2025-09-29 01:18:32,730 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0006
2025-09-29 01:18:32,980 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0004
2025-09-29 01:18:33,229 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0004
2025-09-29 01:18:33,476 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-09-29 01:18:33,724 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0006
2025-09-29 01:18:33,970 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0005
2025-09-29 01:18:34,219 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0004
2025-09-29 01:18:34,469 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0006
2025-09-29 01:18:34,717 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0003
2025-09-29 01:18:34,965 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0005
2025-09-29 01:18:35,214 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0009
2025-09-29 01:18:35,464 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-09-29 01:18:35,715 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0004
2025-09-29 01:18:35,964 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0004
2025-09-29 01:18:36,213 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-09-29 01:18:36,461 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0004
2025-09-29 01:18:36,709 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0007
2025-09-29 01:18:36,956 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0006
2025-09-29 01:18:37,206 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0006
2025-09-29 01:18:37,453 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-09-29 01:18:37,700 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0003
2025-09-29 01:18:37,947 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-09-29 01:18:38,196 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0005
2025-09-29 01:18:38,442 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0006
2025-09-29 01:18:38,690 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
