2025-10-09 16:31:52,616 [INFO] Iniciando treinamento do modelo mlp_att0_MorganCount
2025-10-09 16:31:52,617 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=MorganCount
2025-10-09 16:31:52,617 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 16:31:52,617 [INFO] Carregando dados...
2025-10-09 16:31:52,698 [INFO] Preparando dataloaders sem ruído...
2025-10-09 16:31:57,754 [INFO] Dados carregados em 5.14 segundos
2025-10-09 16:31:57,755 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 16:31:57,755 [INFO] Usando dispositivo: cuda
2025-10-09 16:31:57,986 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-10-09 16:31:57,987 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 16:31:57,990 [INFO] Modelo criado com 76033 parâmetros
2025-10-09 16:31:57,992 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 16:31:58,463 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0051
2025-10-09 16:31:58,736 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0039
2025-10-09 16:31:59,007 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0013
2025-10-09 16:31:59,276 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0009
2025-10-09 16:31:59,545 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0006
2025-10-09 16:31:59,813 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0008
2025-10-09 16:32:00,080 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0006
2025-10-09 16:32:00,347 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0008
2025-10-09 16:32:00,610 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0006
2025-10-09 16:32:00,879 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0006
2025-10-09 16:32:01,143 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-10-09 16:32:01,408 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0007
2025-10-09 16:32:01,669 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0005
2025-10-09 16:32:01,929 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0008
2025-10-09 16:32:02,192 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0006
2025-10-09 16:32:02,453 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0006
2025-10-09 16:32:02,716 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0004
2025-10-09 16:32:02,978 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0006
2025-10-09 16:32:03,247 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-10-09 16:32:03,518 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0004
2025-10-09 16:32:03,788 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0007
2025-10-09 16:32:04,059 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-10-09 16:32:04,323 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0005
2025-10-09 16:32:04,587 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0005
2025-10-09 16:32:04,850 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0004
2025-10-09 16:32:05,113 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0004
2025-10-09 16:32:05,376 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 16:32:05,640 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0004
2025-10-09 16:32:05,903 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-10-09 16:32:06,167 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0003
2025-10-09 16:32:06,429 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0003
2025-10-09 16:32:06,695 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0005
2025-10-09 16:32:06,963 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0005
2025-10-09 16:32:07,229 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0007
2025-10-09 16:32:07,495 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0005
2025-10-09 16:32:07,763 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0005
2025-10-09 16:32:08,029 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0005
2025-10-09 16:32:08,295 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 16:32:08,564 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0004
2025-10-09 16:32:08,836 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0004
2025-10-09 16:32:09,104 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0005
2025-10-09 16:32:09,374 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0004
2025-10-09 16:32:09,647 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0008
2025-10-09 16:32:09,914 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0005
2025-10-09 16:32:10,180 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 16:32:10,446 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0003
2025-10-09 16:32:10,714 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0007
2025-10-09 16:32:10,991 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0005
2025-10-09 16:32:11,259 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 16:32:11,526 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0007
2025-10-09 16:32:11,793 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0004
2025-10-09 16:32:12,059 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0004
2025-10-09 16:32:12,329 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 16:32:12,594 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0004
