2025-09-28 21:04:34,026 [INFO] Iniciando treinamento do modelo mlp_att0_Morgan
2025-09-28 21:04:34,026 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=Morgan
2025-09-28 21:04:34,026 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 21:04:34,026 [INFO] Carregando dados...
2025-09-28 21:04:34,081 [INFO] Preparando dataloaders sem ruído...
2025-09-28 21:04:39,031 [INFO] Dados carregados em 5.00 segundos
2025-09-28 21:04:39,031 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 21:04:39,031 [INFO] Usando dispositivo: cuda
2025-09-28 21:04:39,405 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-28 21:04:39,406 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 21:04:39,409 [INFO] Modelo criado com 16961 parâmetros
2025-09-28 21:04:39,412 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 21:04:40,323 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0178
2025-09-28 21:04:40,601 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0071
2025-09-28 21:04:40,875 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0022
2025-09-28 21:04:41,147 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0018
2025-09-28 21:04:41,424 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0011
2025-09-28 21:04:41,688 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0010
2025-09-28 21:04:41,961 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0005
2025-09-28 21:04:42,228 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0005
2025-09-28 21:04:42,500 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0004
2025-09-28 21:04:42,776 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0004
2025-09-28 21:04:43,026 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0004
2025-09-28 21:04:43,278 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0005
2025-09-28 21:04:43,530 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0005
2025-09-28 21:04:43,782 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0004
2025-09-28 21:04:44,033 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0008
2025-09-28 21:04:44,294 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-09-28 21:04:44,544 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0005
2025-09-28 21:04:44,796 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0009
2025-09-28 21:04:45,046 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0005
2025-09-28 21:04:45,295 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0006
2025-09-28 21:04:45,544 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0005
2025-09-28 21:04:45,825 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-09-28 21:04:46,105 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0003
2025-09-28 21:04:46,384 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0007
2025-09-28 21:04:46,662 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0006
2025-09-28 21:04:46,910 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0006
2025-09-28 21:04:47,165 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-09-28 21:04:47,421 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0004
2025-09-28 21:04:47,672 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-09-28 21:04:47,923 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0005
2025-09-28 21:04:48,176 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0005
2025-09-28 21:04:48,435 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 21:04:48,690 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0005
2025-09-28 21:04:48,943 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0004
2025-09-28 21:04:49,200 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0004
2025-09-28 21:04:49,459 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0004
2025-09-28 21:04:49,712 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0005
2025-09-28 21:04:49,964 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0004
2025-09-28 21:04:50,217 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0003
2025-09-28 21:04:50,467 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0006
2025-09-28 21:04:50,719 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0004
