2025-09-29 00:09:00,064 [INFO] Iniciando treinamento do modelo mlp_att0_Pattern
2025-09-29 00:09:00,064 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=Pattern
2025-09-29 00:09:00,064 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-29 00:09:00,064 [INFO] Carregando dados...
2025-09-29 00:09:00,158 [INFO] Preparando dataloaders sem ruído...
2025-09-29 00:17:37,672 [INFO] Dados carregados em 517.61 segundos
2025-09-29 00:17:37,672 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-29 00:17:37,672 [INFO] Usando dispositivo: cuda
2025-09-29 00:17:38,076 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-29 00:17:40,189 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-29 00:17:40,192 [INFO] Modelo criado com 16961 parâmetros
2025-09-29 00:17:40,211 [INFO] Iniciando treinamento com 30 épocas...
2025-09-29 00:17:40,748 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0127
2025-09-29 00:17:40,972 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0043
2025-09-29 00:17:41,196 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0032
2025-09-29 00:17:41,419 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0021
2025-09-29 00:17:41,641 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0019
2025-09-29 00:17:41,864 [INFO] Época 1/30, Batch 300/3348, Loss: 0.1080
2025-09-29 00:17:42,086 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0011
2025-09-29 00:17:42,312 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0006
2025-09-29 00:17:42,535 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0007
2025-09-29 00:17:42,765 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0007
2025-09-29 00:17:42,998 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0004
