2025-09-28 21:49:23,024 [INFO] Iniciando treinamento do modelo mlp_att0_Physicochemical
2025-09-28 21:49:23,025 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=Physicochemical
2025-09-28 21:49:23,025 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 21:49:23,025 [INFO] Carregando dados...
2025-09-28 21:49:23,110 [INFO] Preparando dataloaders sem ruído...
2025-09-28 21:49:23,351 [INFO] Dados carregados em 0.33 segundos
2025-09-28 21:49:23,351 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 21:49:23,351 [INFO] Usando dispositivo: cuda
2025-09-28 21:49:23,550 [INFO] Dimensão de entrada: 9, Dimensão de saída: 1
2025-09-28 21:49:23,551 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 21:49:23,553 [INFO] Modelo criado com 865 parâmetros
2025-09-28 21:49:23,555 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 21:49:23,982 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0124
2025-09-28 21:49:24,243 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0097
2025-09-28 21:49:24,495 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0058
2025-09-28 21:49:24,747 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0047
2025-09-28 21:49:24,997 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0027
2025-09-28 21:49:25,250 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0035
2025-09-28 21:49:25,500 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0036
2025-09-28 21:49:25,750 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0019
2025-09-28 21:49:25,997 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0018
2025-09-28 21:49:26,248 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0022
2025-09-28 21:49:26,498 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0018
2025-09-28 21:49:26,755 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0017
2025-09-28 21:49:27,019 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0011
