2025-10-09 15:32:59,055 [INFO] Iniciando treinamento do modelo mlp_att0_Physicochemical
2025-10-09 15:32:59,055 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=Physicochemical
2025-10-09 15:32:59,055 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:32:59,055 [INFO] Carregando dados...
2025-10-09 15:32:59,150 [INFO] Preparando dataloaders sem ruído...
2025-10-09 15:32:59,463 [INFO] Dados carregados em 0.41 segundos
2025-10-09 15:32:59,463 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 15:32:59,463 [INFO] Usando dispositivo: cuda
2025-10-09 15:32:59,684 [INFO] Dimensão de entrada: 9, Dimensão de saída: 1
2025-10-09 15:32:59,685 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:32:59,688 [INFO] Modelo criado com 11649 parâmetros
2025-10-09 15:32:59,689 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:33:00,121 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0048
2025-10-09 15:33:00,384 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0041
2025-10-09 15:33:00,653 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0020
2025-10-09 15:33:00,919 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0020
2025-10-09 15:33:01,187 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0018
2025-10-09 15:33:01,455 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0018
2025-10-09 15:33:01,721 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0016
2025-10-09 15:33:01,980 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0021
2025-10-09 15:33:02,239 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0019
2025-10-09 15:33:02,498 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0010
2025-10-09 15:33:02,757 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0019
2025-10-09 15:33:03,021 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0010
2025-10-09 15:33:03,290 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0010
2025-10-09 15:33:03,558 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0012
2025-10-09 15:33:03,820 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0009
2025-10-09 15:33:04,074 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0006
2025-10-09 15:33:04,323 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0010
2025-10-09 15:33:04,573 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0008
2025-10-09 15:33:04,825 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-10-09 15:33:05,075 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0011
2025-10-09 15:33:05,330 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0005
2025-10-09 15:33:05,588 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0006
2025-10-09 15:33:05,845 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0006
2025-10-09 15:33:06,111 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0004
2025-10-09 15:33:06,377 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0004
2025-10-09 15:33:06,647 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0032
2025-10-09 15:33:06,919 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 15:33:07,187 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0006
2025-10-09 15:33:07,455 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-10-09 15:33:07,721 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0003
2025-10-09 15:33:07,987 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0006
2025-10-09 15:33:08,253 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0005
2025-10-09 15:33:08,519 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0007
2025-10-09 15:33:08,786 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0006
2025-10-09 15:33:09,051 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0002
2025-10-09 15:33:09,316 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0004
2025-10-09 15:33:09,581 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0003
2025-10-09 15:33:09,840 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 15:33:10,098 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0004
2025-10-09 15:33:10,357 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0004
2025-10-09 15:33:10,614 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0004
2025-10-09 15:33:10,874 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0004
2025-10-09 15:33:11,135 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0004
2025-10-09 15:33:11,392 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0007
2025-10-09 15:33:11,649 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0006
2025-10-09 15:33:11,907 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 15:33:12,166 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0003
2025-10-09 15:33:12,428 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0004
2025-10-09 15:33:12,685 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:33:12,944 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0003
2025-10-09 15:33:13,207 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0004
2025-10-09 15:33:13,470 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0005
2025-10-09 15:33:13,741 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 15:33:14,002 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0004
2025-10-09 15:33:14,262 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0003
2025-10-09 15:33:14,523 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0005
2025-10-09 15:33:14,783 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 15:33:15,042 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0004
2025-10-09 15:33:15,299 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0003
2025-10-09 15:33:15,555 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0004
