2025-09-28 22:35:15,525 [INFO] Iniciando treinamento do modelo mlp_att0_Topological
2025-09-28 22:35:15,525 [INFO] Configuração: att_index=0, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=Topological
2025-09-28 22:35:15,525 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-28 22:35:15,525 [INFO] Carregando dados...
2025-09-28 22:35:15,600 [INFO] Preparando dataloaders sem ruído...
2025-09-28 22:46:45,331 [INFO] Dados carregados em 689.81 segundos
2025-09-28 22:46:45,331 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-28 22:46:45,331 [INFO] Usando dispositivo: cuda
2025-09-28 22:46:45,675 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-09-28 22:46:45,675 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-28 22:46:45,678 [INFO] Modelo criado com 16961 parâmetros
2025-09-28 22:46:45,682 [INFO] Iniciando treinamento com 30 épocas...
2025-09-28 22:46:46,209 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0153
2025-09-28 22:46:46,458 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0089
2025-09-28 22:46:46,699 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0034
2025-09-28 22:46:46,938 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0018
2025-09-28 22:46:47,181 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0009
2025-09-28 22:46:47,430 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0013
2025-09-28 22:46:47,680 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0006
2025-09-28 22:46:47,929 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0005
2025-09-28 22:46:48,179 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0004
2025-09-28 22:46:48,428 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0004
2025-09-28 22:46:48,680 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0004
2025-09-28 22:46:48,930 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0006
2025-09-28 22:46:49,181 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0005
2025-09-28 22:46:49,434 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0005
2025-09-28 22:46:49,685 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0007
2025-09-28 22:46:49,936 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-09-28 22:46:50,186 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0005
2025-09-28 22:46:50,436 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0009
2025-09-28 22:47:02,619 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-09-28 22:47:02,870 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0006
2025-09-28 22:47:03,124 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0005
2025-09-28 22:47:03,375 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-09-28 22:47:03,628 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0004
2025-09-28 22:47:03,882 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0007
2025-09-28 22:47:04,133 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-09-28 22:47:04,387 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0005
2025-09-28 22:47:04,641 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0005
2025-09-28 22:47:04,895 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0003
2025-09-28 22:47:05,148 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0005
2025-09-28 22:47:05,398 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0005
2025-09-28 22:47:05,652 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0005
2025-09-28 22:47:05,904 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 22:47:06,160 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0004
2025-09-28 22:47:06,408 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0004
2025-09-28 22:47:06,658 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0003
2025-09-28 22:47:06,913 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0004
2025-09-28 22:47:07,167 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0005
2025-09-28 22:47:07,417 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0004
2025-09-28 22:47:07,670 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0003
2025-09-28 22:47:07,936 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0006
2025-09-28 22:47:08,192 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0004
2025-09-28 22:47:08,445 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0006
2025-09-28 22:47:08,695 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0005
2025-09-28 22:47:08,946 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0006
2025-09-28 22:47:09,195 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0005
2025-09-28 22:47:09,448 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-09-28 22:47:09,698 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0004
2025-09-28 22:47:09,948 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0004
2025-09-28 22:47:10,196 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0005
2025-09-28 22:47:10,445 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0004
2025-09-28 22:47:10,696 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0004
2025-09-28 22:47:10,949 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0003
2025-09-28 22:47:11,198 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-09-28 22:47:11,449 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0005
2025-09-28 22:47:11,701 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0004
2025-09-28 22:47:11,952 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0004
2025-09-28 22:47:12,203 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-09-28 22:47:12,452 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0004
2025-09-28 22:47:12,709 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0005
2025-09-28 22:47:12,974 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0006
2025-09-28 22:47:13,232 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0004
2025-09-28 22:47:13,485 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0004
2025-09-28 22:47:13,734 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0005
2025-09-28 22:47:13,986 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0005
2025-09-28 22:47:14,237 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0005
2025-09-28 22:47:14,492 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0002
2025-09-28 22:47:16,168 [INFO] [1/30] Train Loss: 0.0055 | Val Loss: 0.0005 | Tempo: 30.49s
2025-09-28 22:47:16,173 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_Topological_att0.pth
2025-09-28 22:47:16,693 [INFO] Época 2/30, Batch 50/3348, Loss: 0.0004
2025-09-28 22:47:16,944 [INFO] Época 2/30, Batch 100/3348, Loss: 0.0003
2025-09-28 22:47:17,194 [INFO] Época 2/30, Batch 150/3348, Loss: 0.0006
2025-09-28 22:47:17,447 [INFO] Época 2/30, Batch 200/3348, Loss: 0.0005
2025-09-28 22:47:17,698 [INFO] Época 2/30, Batch 250/3348, Loss: 0.0004
2025-09-28 22:47:17,947 [INFO] Época 2/30, Batch 300/3348, Loss: 0.0004
2025-09-28 22:47:18,208 [INFO] Época 2/30, Batch 350/3348, Loss: 0.0005
2025-09-28 22:47:18,455 [INFO] Época 2/30, Batch 400/3348, Loss: 0.0005
2025-09-28 22:47:18,701 [INFO] Época 2/30, Batch 450/3348, Loss: 0.0003
2025-09-28 22:47:18,949 [INFO] Época 2/30, Batch 500/3348, Loss: 0.0005
2025-09-28 22:47:19,197 [INFO] Época 2/30, Batch 550/3348, Loss: 0.0003
2025-09-28 22:47:19,442 [INFO] Época 2/30, Batch 600/3348, Loss: 0.0004
2025-09-28 22:47:19,681 [INFO] Época 2/30, Batch 650/3348, Loss: 0.0004
2025-09-28 22:47:19,904 [INFO] Época 2/30, Batch 700/3348, Loss: 0.0003
2025-09-28 22:47:20,125 [INFO] Época 2/30, Batch 750/3348, Loss: 0.0005
2025-09-28 22:47:20,345 [INFO] Época 2/30, Batch 800/3348, Loss: 0.0005
2025-09-28 22:47:20,572 [INFO] Época 2/30, Batch 850/3348, Loss: 0.0004
2025-09-28 22:47:20,799 [INFO] Época 2/30, Batch 900/3348, Loss: 0.0004
2025-09-28 22:47:21,025 [INFO] Época 2/30, Batch 950/3348, Loss: 0.0004
2025-09-28 22:47:21,251 [INFO] Época 2/30, Batch 1000/3348, Loss: 0.0004
2025-09-28 22:47:21,478 [INFO] Época 2/30, Batch 1050/3348, Loss: 0.0003
2025-09-28 22:47:21,705 [INFO] Época 2/30, Batch 1100/3348, Loss: 0.0004
2025-09-28 22:47:21,935 [INFO] Época 2/30, Batch 1150/3348, Loss: 0.0004
2025-09-28 22:47:22,179 [INFO] Época 2/30, Batch 1200/3348, Loss: 0.0005
2025-09-28 22:47:22,425 [INFO] Época 2/30, Batch 1250/3348, Loss: 0.0003
2025-09-28 22:47:22,668 [INFO] Época 2/30, Batch 1300/3348, Loss: 0.0004
2025-09-28 22:47:22,914 [INFO] Época 2/30, Batch 1350/3348, Loss: 0.0004
2025-09-28 22:47:23,162 [INFO] Época 2/30, Batch 1400/3348, Loss: 0.0004
2025-09-28 22:47:23,420 [INFO] Época 2/30, Batch 1450/3348, Loss: 0.0003
2025-09-28 22:47:23,666 [INFO] Época 2/30, Batch 1500/3348, Loss: 0.0004
2025-09-28 22:47:23,927 [INFO] Época 2/30, Batch 1550/3348, Loss: 0.0005
2025-09-28 22:47:24,186 [INFO] Época 2/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 22:47:24,443 [INFO] Época 2/30, Batch 1650/3348, Loss: 0.0004
2025-09-28 22:47:24,703 [INFO] Época 2/30, Batch 1700/3348, Loss: 0.0004
2025-09-28 22:47:24,961 [INFO] Época 2/30, Batch 1750/3348, Loss: 0.0004
2025-09-28 22:47:25,219 [INFO] Época 2/30, Batch 1800/3348, Loss: 0.0006
2025-09-28 22:47:25,478 [INFO] Época 2/30, Batch 1850/3348, Loss: 0.0003
2025-09-28 22:47:25,738 [INFO] Época 2/30, Batch 1900/3348, Loss: 0.0004
2025-09-28 22:47:25,999 [INFO] Época 2/30, Batch 1950/3348, Loss: 0.0005
2025-09-28 22:47:26,258 [INFO] Época 2/30, Batch 2000/3348, Loss: 0.0009
2025-09-28 22:47:26,518 [INFO] Época 2/30, Batch 2050/3348, Loss: 0.0005
2025-09-28 22:47:26,777 [INFO] Época 2/30, Batch 2100/3348, Loss: 0.0005
2025-09-28 22:47:27,038 [INFO] Época 2/30, Batch 2150/3348, Loss: 0.0003
2025-09-28 22:47:27,298 [INFO] Época 2/30, Batch 2200/3348, Loss: 0.0003
2025-09-28 22:47:27,553 [INFO] Época 2/30, Batch 2250/3348, Loss: 0.0005
2025-09-28 22:47:27,809 [INFO] Época 2/30, Batch 2300/3348, Loss: 0.0005
2025-09-28 22:47:28,062 [INFO] Época 2/30, Batch 2350/3348, Loss: 0.0003
2025-09-28 22:47:28,309 [INFO] Época 2/30, Batch 2400/3348, Loss: 0.0003
2025-09-28 22:47:28,569 [INFO] Época 2/30, Batch 2450/3348, Loss: 0.0005
2025-09-28 22:47:28,821 [INFO] Época 2/30, Batch 2500/3348, Loss: 0.0009
2025-09-28 22:47:29,079 [INFO] Época 2/30, Batch 2550/3348, Loss: 0.0004
2025-09-28 22:47:29,336 [INFO] Época 2/30, Batch 2600/3348, Loss: 0.0004
2025-09-28 22:47:29,596 [INFO] Época 2/30, Batch 2650/3348, Loss: 0.0004
2025-09-28 22:47:29,847 [INFO] Época 2/30, Batch 2700/3348, Loss: 0.0004
2025-09-28 22:47:30,096 [INFO] Época 2/30, Batch 2750/3348, Loss: 0.0004
2025-09-28 22:47:30,347 [INFO] Época 2/30, Batch 2800/3348, Loss: 0.0002
2025-09-28 22:47:30,597 [INFO] Época 2/30, Batch 2850/3348, Loss: 0.0004
2025-09-28 22:47:30,843 [INFO] Época 2/30, Batch 2900/3348, Loss: 0.0004
2025-09-28 22:47:31,092 [INFO] Época 2/30, Batch 2950/3348, Loss: 0.0004
2025-09-28 22:47:31,336 [INFO] Época 2/30, Batch 3000/3348, Loss: 0.0004
2025-09-28 22:47:31,586 [INFO] Época 2/30, Batch 3050/3348, Loss: 0.0005
2025-09-28 22:47:31,839 [INFO] Época 2/30, Batch 3100/3348, Loss: 0.0004
2025-09-28 22:47:32,095 [INFO] Época 2/30, Batch 3150/3348, Loss: 0.0004
2025-09-28 22:47:32,351 [INFO] Época 2/30, Batch 3200/3348, Loss: 0.0008
2025-09-28 22:47:32,608 [INFO] Época 2/30, Batch 3250/3348, Loss: 0.0005
2025-09-28 22:47:32,862 [INFO] Época 2/30, Batch 3300/3348, Loss: 0.0004
2025-09-28 22:47:34,656 [INFO] [2/30] Train Loss: 0.0048 | Val Loss: 0.0004 | Tempo: 18.48s
2025-09-28 22:47:34,660 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_Topological_att0.pth
2025-09-28 22:47:35,200 [INFO] Época 3/30, Batch 50/3348, Loss: 0.0004
2025-09-28 22:47:35,455 [INFO] Época 3/30, Batch 100/3348, Loss: 0.0004
2025-09-28 22:47:35,711 [INFO] Época 3/30, Batch 150/3348, Loss: 0.0004
2025-09-28 22:47:35,975 [INFO] Época 3/30, Batch 200/3348, Loss: 0.0005
2025-09-28 22:47:36,238 [INFO] Época 3/30, Batch 250/3348, Loss: 0.0003
2025-09-28 22:47:36,499 [INFO] Época 3/30, Batch 300/3348, Loss: 0.0004
2025-09-28 22:47:36,755 [INFO] Época 3/30, Batch 350/3348, Loss: 0.0004
2025-09-28 22:47:37,006 [INFO] Época 3/30, Batch 400/3348, Loss: 0.0005
2025-09-28 22:47:37,256 [INFO] Época 3/30, Batch 450/3348, Loss: 0.0003
2025-09-28 22:47:37,507 [INFO] Época 3/30, Batch 500/3348, Loss: 0.0003
2025-09-28 22:47:37,759 [INFO] Época 3/30, Batch 550/3348, Loss: 0.0003
2025-09-28 22:47:38,011 [INFO] Época 3/30, Batch 600/3348, Loss: 0.0003
2025-09-28 22:47:38,278 [INFO] Época 3/30, Batch 650/3348, Loss: 0.0004
2025-09-28 22:47:38,543 [INFO] Época 3/30, Batch 700/3348, Loss: 0.0004
2025-09-28 22:47:38,802 [INFO] Época 3/30, Batch 750/3348, Loss: 0.0005
2025-09-28 22:47:39,060 [INFO] Época 3/30, Batch 800/3348, Loss: 0.0003
2025-09-28 22:47:39,324 [INFO] Época 3/30, Batch 850/3348, Loss: 0.0006
2025-09-28 22:47:39,588 [INFO] Época 3/30, Batch 900/3348, Loss: 0.0004
2025-09-28 22:47:39,857 [INFO] Época 3/30, Batch 950/3348, Loss: 0.0004
2025-09-28 22:47:40,135 [INFO] Época 3/30, Batch 1000/3348, Loss: 0.0005
2025-09-28 22:47:40,403 [INFO] Época 3/30, Batch 1050/3348, Loss: 0.0003
2025-09-28 22:47:40,672 [INFO] Época 3/30, Batch 1100/3348, Loss: 0.0003
2025-09-28 22:47:40,926 [INFO] Época 3/30, Batch 1150/3348, Loss: 0.0003
2025-09-28 22:47:41,177 [INFO] Época 3/30, Batch 1200/3348, Loss: 0.0003
2025-09-28 22:47:41,437 [INFO] Época 3/30, Batch 1250/3348, Loss: 0.0003
2025-09-28 22:47:41,700 [INFO] Época 3/30, Batch 1300/3348, Loss: 0.0003
2025-09-28 22:47:41,964 [INFO] Época 3/30, Batch 1350/3348, Loss: 0.0004
2025-09-28 22:47:42,226 [INFO] Época 3/30, Batch 1400/3348, Loss: 0.0004
2025-09-28 22:47:42,488 [INFO] Época 3/30, Batch 1450/3348, Loss: 0.0004
2025-09-28 22:47:42,744 [INFO] Época 3/30, Batch 1500/3348, Loss: 0.0003
2025-09-28 22:47:42,993 [INFO] Época 3/30, Batch 1550/3348, Loss: 0.0004
2025-09-28 22:47:43,246 [INFO] Época 3/30, Batch 1600/3348, Loss: 0.0004
2025-09-28 22:47:43,511 [INFO] Época 3/30, Batch 1650/3348, Loss: 0.0004
