2025-10-09 15:46:03,983 [INFO] Iniciando treinamento do modelo mlp_att0_Topological
2025-10-09 15:46:03,983 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=Topological
2025-10-09 15:46:03,983 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:46:03,983 [INFO] Carregando dados...
2025-10-09 15:46:04,086 [INFO] Preparando dataloaders sem ruído...
2025-10-09 15:46:11,493 [INFO] Dados carregados em 7.51 segundos
2025-10-09 15:46:11,494 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 15:46:11,494 [INFO] Usando dispositivo: cuda
2025-10-09 15:46:11,750 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-10-09 15:46:11,751 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:46:11,755 [INFO] Modelo criado com 76033 parâmetros
2025-10-09 15:46:11,756 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:46:12,232 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0062
2025-10-09 15:46:12,513 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0028
2025-10-09 15:46:12,789 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0021
2025-10-09 15:46:13,062 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0014
2025-10-09 15:46:13,329 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0009
2025-10-09 15:46:13,607 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0007
2025-10-09 15:46:13,883 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0005
2025-10-09 15:46:14,162 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0007
2025-10-09 15:46:14,436 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0008
2025-10-09 15:46:14,712 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0005
2025-10-09 15:46:14,988 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-10-09 15:46:15,265 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0006
2025-10-09 15:46:15,540 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0006
2025-10-09 15:46:15,809 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0007
2025-10-09 15:46:16,076 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0009
2025-10-09 15:46:16,340 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-10-09 15:46:16,608 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0005
2025-10-09 15:46:16,876 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0006
2025-10-09 15:46:17,144 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0007
2025-10-09 15:46:17,421 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0002
2025-10-09 15:46:17,690 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0004
2025-10-09 15:46:17,960 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0005
2025-10-09 15:46:18,228 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0004
2025-10-09 15:46:18,496 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0006
2025-10-09 15:46:18,763 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-10-09 15:46:19,034 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0004
2025-10-09 15:46:19,307 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 15:46:19,578 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0003
2025-10-09 15:46:19,849 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0005
2025-10-09 15:46:20,118 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0004
2025-10-09 15:46:20,389 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0004
2025-10-09 15:46:20,661 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0005
2025-10-09 15:46:20,932 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0004
2025-10-09 15:46:21,202 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0004
2025-10-09 15:46:21,471 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0003
2025-10-09 15:46:21,740 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0005
2025-10-09 15:46:22,008 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0003
2025-10-09 15:46:22,278 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 15:46:22,547 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0006
2025-10-09 15:46:22,816 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0003
2025-10-09 15:46:23,085 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0005
2025-10-09 15:46:23,354 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0004
2025-10-09 15:46:23,622 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0005
2025-10-09 15:46:23,891 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0004
2025-10-09 15:46:24,159 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 15:46:24,427 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 15:46:24,698 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0005
2025-10-09 15:46:24,972 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0005
2025-10-09 15:46:25,244 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:46:25,516 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0005
2025-10-09 15:46:25,783 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0006
2025-10-09 15:46:26,053 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0004
2025-10-09 15:46:26,323 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 15:46:26,593 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0006
2025-10-09 15:46:26,863 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0003
2025-10-09 15:46:27,134 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0005
2025-10-09 15:46:27,405 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 15:46:27,675 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0005
2025-10-09 15:46:27,956 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0003
2025-10-09 15:46:28,234 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0012
2025-10-09 15:46:28,520 [INFO] Época 1/30, Batch 3050/3348, Loss: 0.0003
2025-10-09 15:46:28,797 [INFO] Época 1/30, Batch 3100/3348, Loss: 0.0002
2025-10-09 15:46:29,064 [INFO] Época 1/30, Batch 3150/3348, Loss: 0.0004
2025-10-09 15:46:29,336 [INFO] Época 1/30, Batch 3200/3348, Loss: 0.0002
2025-10-09 15:46:29,602 [INFO] Época 1/30, Batch 3250/3348, Loss: 0.0005
2025-10-09 15:46:29,875 [INFO] Época 1/30, Batch 3300/3348, Loss: 0.0003
2025-10-09 15:46:31,604 [INFO] [1/30] Train Loss: 0.0052 | Val Loss: 0.0004 | Tempo: 19.85s
2025-10-09 15:46:31,610 [INFO] Melhor modelo salvo em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models/mlp_qm9_Topological_att0_large.pth
2025-10-09 15:46:32,117 [INFO] Época 2/30, Batch 50/3348, Loss: 0.0004
2025-10-09 15:46:32,394 [INFO] Época 2/30, Batch 100/3348, Loss: 0.0005
2025-10-09 15:46:32,668 [INFO] Época 2/30, Batch 150/3348, Loss: 0.0007
2025-10-09 15:46:32,940 [INFO] Época 2/30, Batch 200/3348, Loss: 0.0004
2025-10-09 15:46:33,211 [INFO] Época 2/30, Batch 250/3348, Loss: 0.0004
2025-10-09 15:46:33,480 [INFO] Época 2/30, Batch 300/3348, Loss: 0.0003
2025-10-09 15:46:33,755 [INFO] Época 2/30, Batch 350/3348, Loss: 0.0004
2025-10-09 15:46:34,031 [INFO] Época 2/30, Batch 400/3348, Loss: 0.0003
2025-10-09 15:46:34,303 [INFO] Época 2/30, Batch 450/3348, Loss: 0.0005
2025-10-09 15:46:34,588 [INFO] Época 2/30, Batch 500/3348, Loss: 0.0004
2025-10-09 15:46:34,871 [INFO] Época 2/30, Batch 550/3348, Loss: 0.0005
2025-10-09 15:46:35,156 [INFO] Época 2/30, Batch 600/3348, Loss: 0.0004
2025-10-09 15:46:35,437 [INFO] Época 2/30, Batch 650/3348, Loss: 0.0005
2025-10-09 15:46:35,703 [INFO] Época 2/30, Batch 700/3348, Loss: 0.0005
2025-10-09 15:46:35,959 [INFO] Época 2/30, Batch 750/3348, Loss: 0.0005
2025-10-09 15:46:36,229 [INFO] Época 2/30, Batch 800/3348, Loss: 0.0004
2025-10-09 15:46:36,511 [INFO] Época 2/30, Batch 850/3348, Loss: 0.0004
2025-10-09 15:46:36,779 [INFO] Época 2/30, Batch 900/3348, Loss: 0.0003
2025-10-09 15:46:37,052 [INFO] Época 2/30, Batch 950/3348, Loss: 0.0003
2025-10-09 15:46:37,328 [INFO] Época 2/30, Batch 1000/3348, Loss: 0.0004
2025-10-09 15:46:37,603 [INFO] Época 2/30, Batch 1050/3348, Loss: 0.0006
2025-10-09 15:46:37,874 [INFO] Época 2/30, Batch 1100/3348, Loss: 0.0003
2025-10-09 15:46:38,134 [INFO] Época 2/30, Batch 1150/3348, Loss: 0.0004
2025-10-09 15:46:38,394 [INFO] Época 2/30, Batch 1200/3348, Loss: 0.0007
2025-10-09 15:46:38,663 [INFO] Época 2/30, Batch 1250/3348, Loss: 0.0005
2025-10-09 15:46:38,928 [INFO] Época 2/30, Batch 1300/3348, Loss: 0.0005
2025-10-09 15:46:39,204 [INFO] Época 2/30, Batch 1350/3348, Loss: 0.0003
2025-10-09 15:46:39,472 [INFO] Época 2/30, Batch 1400/3348, Loss: 0.0004
2025-10-09 15:46:39,736 [INFO] Época 2/30, Batch 1450/3348, Loss: 0.0005
2025-10-09 15:46:40,006 [INFO] Época 2/30, Batch 1500/3348, Loss: 0.0004
2025-10-09 15:46:40,294 [INFO] Época 2/30, Batch 1550/3348, Loss: 0.0003
2025-10-09 15:46:40,583 [INFO] Época 2/30, Batch 1600/3348, Loss: 0.0004
2025-10-09 15:46:40,858 [INFO] Época 2/30, Batch 1650/3348, Loss: 0.0006
2025-10-09 15:46:41,122 [INFO] Época 2/30, Batch 1700/3348, Loss: 0.0004
2025-10-09 15:46:41,386 [INFO] Época 2/30, Batch 1750/3348, Loss: 0.0005
2025-10-09 15:46:41,651 [INFO] Época 2/30, Batch 1800/3348, Loss: 0.0005
2025-10-09 15:46:41,917 [INFO] Época 2/30, Batch 1850/3348, Loss: 0.0004
2025-10-09 15:46:42,182 [INFO] Época 2/30, Batch 1900/3348, Loss: 0.0004
2025-10-09 15:46:42,444 [INFO] Época 2/30, Batch 1950/3348, Loss: 0.0005
2025-10-09 15:46:42,709 [INFO] Época 2/30, Batch 2000/3348, Loss: 0.0003
2025-10-09 15:46:42,972 [INFO] Época 2/30, Batch 2050/3348, Loss: 0.0004
2025-10-09 15:46:43,234 [INFO] Época 2/30, Batch 2100/3348, Loss: 0.0005
2025-10-09 15:46:43,498 [INFO] Época 2/30, Batch 2150/3348, Loss: 0.0003
2025-10-09 15:46:43,773 [INFO] Época 2/30, Batch 2200/3348, Loss: 0.0003
2025-10-09 15:46:44,044 [INFO] Época 2/30, Batch 2250/3348, Loss: 0.0004
2025-10-09 15:46:44,313 [INFO] Época 2/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 15:46:44,601 [INFO] Época 2/30, Batch 2350/3348, Loss: 0.0004
2025-10-09 15:46:44,884 [INFO] Época 2/30, Batch 2400/3348, Loss: 0.0003
2025-10-09 15:46:45,166 [INFO] Época 2/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:46:45,446 [INFO] Época 2/30, Batch 2500/3348, Loss: 0.0004
2025-10-09 15:46:45,727 [INFO] Época 2/30, Batch 2550/3348, Loss: 0.0005
2025-10-09 15:46:46,009 [INFO] Época 2/30, Batch 2600/3348, Loss: 0.0004
2025-10-09 15:46:46,291 [INFO] Época 2/30, Batch 2650/3348, Loss: 0.0003
2025-10-09 15:46:46,573 [INFO] Época 2/30, Batch 2700/3348, Loss: 0.0004
2025-10-09 15:46:46,854 [INFO] Época 2/30, Batch 2750/3348, Loss: 0.0003
2025-10-09 15:46:47,134 [INFO] Época 2/30, Batch 2800/3348, Loss: 0.0005
2025-10-09 15:46:47,416 [INFO] Época 2/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 15:46:47,700 [INFO] Época 2/30, Batch 2900/3348, Loss: 0.0005
2025-10-09 15:46:47,981 [INFO] Época 2/30, Batch 2950/3348, Loss: 0.0004
2025-10-09 15:46:48,264 [INFO] Época 2/30, Batch 3000/3348, Loss: 0.0005
