2025-10-10 06:47:57,304 [INFO] Iniciando treinamento do modelo mlp_att10_CM
2025-10-10 06:47:57,304 [INFO] Configuração: att_index=10, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=CM
2025-10-10 06:47:57,305 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-10 06:47:57,305 [INFO] Carregando dados...
2025-10-10 06:47:57,390 [INFO] Preparando dataloaders sem ruído...
2025-10-10 06:47:57,977 [INFO] Dados carregados em 0.67 segundos
2025-10-10 06:47:57,977 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-10 06:47:57,977 [INFO] Usando dispositivo: cuda
2025-10-10 06:47:58,375 [INFO] Dimensão de entrada: 29, Dimensão de saída: 1
2025-10-10 06:47:58,376 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-10 06:47:58,379 [INFO] Modelo criado com 14209 parâmetros
2025-10-10 06:47:58,380 [INFO] Iniciando treinamento com 30 épocas...
2025-10-10 06:47:58,927 [INFO] Época 1/30, Batch 50/3348, Loss: 0.1399
2025-10-10 06:47:59,188 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0443
2025-10-10 06:47:59,460 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0432
2025-10-10 06:47:59,721 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0307
2025-10-10 06:47:59,983 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0367
2025-10-10 06:48:00,242 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0261
2025-10-10 06:48:00,503 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0258
2025-10-10 06:48:00,764 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0203
2025-10-10 06:48:01,024 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0233
2025-10-10 06:48:01,284 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0281
2025-10-10 06:48:01,544 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0175
2025-10-10 06:48:01,803 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0281
2025-10-10 06:48:02,062 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0201
2025-10-10 06:48:02,322 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0192
2025-10-10 06:48:02,582 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0139
2025-10-10 06:48:02,839 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0271
2025-10-10 06:48:03,098 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0139
2025-10-10 06:48:03,355 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0208
2025-10-10 06:48:03,611 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0189
2025-10-10 06:48:03,867 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0153
2025-10-10 06:48:04,123 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0217
2025-10-10 06:48:04,381 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0213
2025-10-10 06:48:04,642 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0119
2025-10-10 06:48:04,900 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0200
