number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_layer_0_size,params_layer_1_size,params_layer_2_size,params_layer_3_size,params_loss_function,params_lr,params_n_layers,params_optimizer,params_weight_decay,state
0,0.0002889585361117497,2025-10-15 21:34:24.329565,2025-10-15 21:35:46.235439,0 days 00:01:21.905874,128,0.2,704,896.0,768.0,,L1Loss,6.237823423524544e-05,3,AdamW,4.653628068840436e-06,COMPLETE
1,0.011750534316524864,2025-10-15 21:35:50.443332,2025-10-15 21:37:17.737659,0 days 00:01:27.294327,256,0.1,128,832.0,384.0,,L1Loss,0.03021498397262608,3,RMSprop,,COMPLETE
2,0.00032841267238836735,2025-10-15 21:37:17.738583,2025-10-15 21:38:56.985714,0 days 00:01:39.247131,1024,0.4,896,256.0,768.0,,L1Loss,4.351477974118086e-05,3,Adam,8.46078834503374e-05,COMPLETE
3,1.1595615652432961e-06,2025-10-15 21:38:56.986612,2025-10-15 21:40:12.540275,0 days 00:01:15.553663,1024,0.1,832,320.0,128.0,,SmoothL1Loss,0.011863814632041223,3,RMSprop,,COMPLETE
4,0.000941945518466777,2025-10-15 21:40:12.541284,2025-10-15 21:41:02.883623,0 days 00:00:50.342339,1024,0.2,64,960.0,,,L1Loss,0.06829923072189634,2,AdamW,9.636154758782075e-06,COMPLETE
5,inf,2025-10-15 21:41:02.884480,2025-10-15 21:41:45.078787,0 days 00:00:42.194307,256,0.0,704,64.0,1024.0,,L1Loss,3.519149422139267e-05,3,AdamW,1.0306127727268196e-05,COMPLETE
6,8.853605595504633e-06,2025-10-15 21:41:45.079712,2025-10-15 21:43:00.654708,0 days 00:01:15.574996,512,0.5,1024,960.0,192.0,128.0,MSELoss,8.382629583995946e-05,4,AdamW,0.006727627178120233,COMPLETE
7,5.671595452838574e-07,2025-10-15 21:43:00.655608,2025-10-15 21:44:28.792068,0 days 00:01:28.136460,256,0.0,384,320.0,128.0,,SmoothL1Loss,0.009590708921636314,3,AdamW,3.4788046600909828e-06,COMPLETE
8,9.859518740995554e-06,2025-10-15 21:44:28.793038,2025-10-15 21:45:09.156411,0 days 00:00:40.363373,256,0.4,640,64.0,448.0,640.0,MSELoss,0.036109087088695174,4,Adam,1.14557221035816e-06,COMPLETE
9,inf,2025-10-15 21:45:09.157303,2025-10-15 21:45:49.850142,0 days 00:00:40.692839,1024,0.4,1024,,,,L1Loss,9.973516009702951e-05,1,RMSprop,,COMPLETE
10,inf,2025-10-15 21:45:50.179542,2025-10-15 21:46:31.777527,0 days 00:00:41.597985,512,0.0,384,,,,SmoothL1Loss,0.0015515180840301244,1,SGD,,COMPLETE
11,1.083348116281968e-06,2025-10-15 21:46:32.286324,2025-10-15 21:47:44.008255,0 days 00:01:11.721931,128,0.1,384,448.0,,,SmoothL1Loss,0.0053681588218414305,2,RMSprop,,COMPLETE
12,inf,2025-10-15 21:47:44.009185,2025-10-15 21:48:29.552649,0 days 00:00:45.543464,128,0.1,384,576.0,,,SmoothL1Loss,0.002975085738421829,2,SGD,,COMPLETE
13,1.0784721013124e-06,2025-10-15 21:48:29.553581,2025-10-15 21:49:51.589627,0 days 00:01:22.036046,128,0.0,384,512.0,,,SmoothL1Loss,0.006115556295729315,2,RMSprop,,COMPLETE
14,inf,2025-10-15 21:49:51.590539,2025-10-15 21:50:38.205677,0 days 00:00:46.615138,128,0.0,192,640.0,,,SmoothL1Loss,0.0006628906398981043,2,AdamW,0.0012548882618996645,COMPLETE
15,1.39054820920137e-06,2025-10-15 21:50:38.406131,2025-10-15 21:52:02.184198,0 days 00:01:23.778067,256,0.30000000000000004,512,,,,SmoothL1Loss,0.00043826929018387273,1,RMSprop,,COMPLETE
16,1.0131968437576688e-06,2025-10-15 21:52:02.185180,2025-10-15 21:52:55.151883,0 days 00:00:52.966703,128,0.0,256,384.0,64.0,960.0,SmoothL1Loss,0.011741348370864076,4,Adam,0.00017620747232888223,COMPLETE
17,1.5065366540056858e-06,2025-10-15 21:52:55.152828,2025-10-15 21:53:50.787031,0 days 00:00:55.634203,256,0.2,256,256.0,64.0,1024.0,MSELoss,0.016891109226344406,4,Adam,0.00023188299138088197,COMPLETE
18,6.196311545636491e-07,2025-10-15 21:53:50.788004,2025-10-15 21:55:23.722254,0 days 00:01:32.934250,512,0.0,256,384.0,320.0,1024.0,SmoothL1Loss,0.08627909240236883,4,Adam,7.761456343881322e-05,COMPLETE
